W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,WS353
None,None,co_hyponyms,None,None,None,None,None,None,None,None,None,None,None,None,None,hypernyms,None,None,None,None,None,None,None,hypernyms,identity
co_hyponyms,hypernyms,None,co_hyponyms,None,hypernyms,None,None,hypernyms,hypernyms,None,None,hypernyms,None,None,hypernyms,None,None,None,hypernyms,hypernyms,None,None,None,hypernyms,None
co_member_meronyms,None,identity,None,None,None,indirect_hyponyms,None,None,None,None,hypernyms,None,None,indirect_hyponyms,None,indirect_hyponyms,co_member_meronyms,None,None,co_member_meronyms,None,hypernyms,co_member_meronyms,None,co_hyponyms
hypernyms,co_hyponyms,None,hypernyms,None,None,None,None,None,None,None,None,None,None,None,indirect_hyponyms,None,hypernyms,None,None,None,hypernyms,None,None,None,indirect_part_meronyms
None,None,None,co_member_meronyms,indirect_hyponyms,None,co_hyponyms,None,co_member_meronyms,None,None,None,co_member_meronyms,hypernyms,None,None,co_hyponyms,None,None,None,None,None,co_hyponyms,None,None,None
member_meronyms,None,None,indirect_hyponyms,None,co_hyponyms,None,None,None,None,None,None,None,None,None,None,None,None,co_member_meronyms,co_member_meronyms,None,None,None,None,None,indirect_hyponyms
None,co_member_meronyms,None,indirect_part_meronyms,None,indirect_part_meronyms,None,indirect_hyponyms,None,indirect_hyponyms,indirect_hyponyms,None,indirect_hyponyms,None,None,co_member_meronyms,None,None,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,None,hypernyms,None,co_hyponyms
None,None,co_member_meronyms,None,co_member_meronyms,indirect_hyponyms,None,co_hyponyms,None,co_hyponyms,None,co_hyponyms,None,indirect_hyponyms,None,None,hypernyms,None,None,None,None,None,hypernyms,indirect_hyponyms,None,None
identity,None,indirect_hypernyms,None,co_hyponyms,None,None,co_member_meronyms,co_hyponyms,None,co_member_meronyms,indirect_hyponyms,None,co_hyponyms,co_hyponyms,co_hyponyms,None,indirect_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_member_meronyms,co_hyponyms,None,None,None
co_hyponyms,None,indirect_part_meronyms,None,None,None,co_member_meronyms,co_hyponyms,indirect_hyponyms,None,co_hyponyms,None,co_hyponyms,None,None,hypernyms,part_meronyms,co_hyponyms,None,indirect_hyponyms,indirect_hyponyms,None,None,co_hyponyms,co_member_meronyms,co_hyponyms
None,member_meronyms,member_meronyms,None,indirect_part_meronyms,None,co_hyponyms,None,None,None,None,co_member_meronyms,None,co_member_meronyms,None,None,None,part_meronyms,None,None,None,None,None,None,indirect_hyponyms,None
indirect_hyponyms,indirect_hyponyms,None,None,None,hypernyms,None,co_hyponyms,None,part_meronyms,co_hyponyms,co_hyponyms,member_meronyms,None,co_hyponyms,indirect_hypernyms,co_member_meronyms,None,None,None,None,indirect_hyponyms,None,co_hyponyms,co_hyponyms,co_hyponyms
indirect_hyponyms,indirect_hyponyms,None,None,None,co_member_meronyms,hypernyms,None,indirect_hypernyms,co_member_meronyms,co_hyponyms,None,None,indirect_hypernyms,None,None,None,co_hyponyms,indirect_hyponyms,None,indirect_hypernyms,None,indirect_hyponyms,part_meronyms,None,hypernyms
hypernyms,None,None,member_meronyms,co_hyponyms,None,part_meronyms,None,co_hyponyms,None,None,None,None,co_hyponyms,None,part_meronyms,None,None,None,None,None,None,co_member_meronyms,indirect_hypernyms,None,None
None,None,indirect_hyponyms,None,None,member_meronyms,indirect_part_meronyms,None,None,None,None,co_hyponyms,co_hyponyms,co_hyponyms,part_meronyms,co_hyponyms,indirect_hypernyms,None,part_meronyms,indirect_hypernyms,None,None,indirect_hypernyms,None,part_meronyms,indirect_hypernyms
None,indirect_part_meronyms,co_hyponyms,None,member_meronyms,None,None,None,indirect_hypernyms,hypernyms,part_meronyms,None,part_meronyms,None,co_member_meronyms,None,None,None,None,part_meronyms,None,co_hyponyms,part_meronyms,None,member_meronyms,member_meronyms
None,identity,None,co_hyponyms,None,None,None,part_meronyms,None,co_hyponyms,None,hypernyms,co_hyponyms,None,co_hyponyms,None,None,None,co_hyponyms,None,co_hyponyms,None,None,None,co_hyponyms,None
None,co_hyponyms,None,hypernyms,None,None,member_meronyms,indirect_part_meronyms,indirect_hypernyms,None,None,indirect_hypernyms,indirect_hypernyms,None,hypernyms,None,None,None,hypernyms,indirect_hypernyms,indirect_hypernyms,part_meronyms,None,None,co_hyponyms,indirect_hypernyms
None,None,None,None,part_meronyms,None,indirect_hypernyms,None,indirect_part_meronyms,indirect_part_meronyms,None,None,indirect_hypernyms,None,None,member_meronyms,None,indirect_hypernyms,indirect_hypernyms,co_hyponyms,member_meronyms,indirect_hypernyms,co_hyponyms,None,None,None
None,indirect_hypernyms,None,None,None,indirect_hypernyms,indirect_hypernyms,None,part_meronyms,None,None,None,hypernyms,part_meronyms,indirect_hypernyms,None,indirect_hypernyms,indirect_part_meronyms,None,member_meronyms,part_meronyms,None,None,None,hypernyms,None
indirect_hypernyms,indirect_hypernyms,indirect_hypernyms,indirect_hypernyms,None,None,None,indirect_hypernyms,None,co_hyponyms,None,part_meronyms,None,None,indirect_hypernyms,None,co_hyponyms,None,None,None,indirect_hypernyms,member_meronyms,hypernyms,co_hyponyms,indirect_hypernyms,indirect_hypernyms
indirect_hypernyms,indirect_hypernyms,hypernyms,indirect_hypernyms,None,co_hyponyms,None,identity,co_hyponyms,indirect_hypernyms,hypernyms,None,None,identity,indirect_hypernyms,None,member_meronyms,hypernyms,None,indirect_hypernyms,None,hypernyms,indirect_hypernyms,None,indirect_hypernyms,indirect_hypernyms
None,hypernyms,None,None,indirect_hypernyms,None,None,indirect_hypernyms,None,None,None,None,indirect_hypernyms,indirect_hypernyms,None,None,None,None,indirect_hypernyms,None,None,None,None,None,indirect_hypernyms,None
co_hyponyms,None,None,None,hypernyms,None,co_hyponyms,member_meronyms,None,None,None,None,None,None,None,indirect_hypernyms,None,None,None,indirect_hypernyms,None,co_hyponyms,None,indirect_hypernyms,indirect_hypernyms,None
indirect_part_meronyms,None,identity,None,indirect_hypernyms,indirect_hypernyms,indirect_hypernyms,None,None,None,indirect_hypernyms,None,None,indirect_hypernyms,None,co_hyponyms,co_hyponyms,None,None,None,None,indirect_hypernyms,None,hypernyms,None,None
None,None,indirect_hypernyms,None,indirect_hypernyms,co_hyponyms,None,None,indirect_hypernyms,None,indirect_hypernyms,None,None,indirect_hypernyms,None,None,None,None,None,None,indirect_hypernyms,None,None,indirect_hypernyms,None,None
None,None,None,part_meronyms,indirect_hypernyms,identity,indirect_hypernyms,indirect_hypernyms,None,indirect_hypernyms,None,indirect_hypernyms,None,None,None,None,None,member_meronyms,None,hypernyms,indirect_hypernyms,None,None,None,None,None
None,None,None,indirect_hypernyms,None,None,indirect_hypernyms,hypernyms,indirect_hypernyms,None,None,indirect_hypernyms,indirect_hypernyms,None,None,indirect_hypernyms,indirect_hypernyms,None,None,None,None,indirect_hypernyms,None,indirect_hypernyms,None,None
None,None,indirect_hypernyms,indirect_hypernyms,None,part_meronyms,indirect_hypernyms,None,hypernyms,None,None,None,None,None,indirect_hypernyms,None,hypernyms,indirect_hypernyms,indirect_hypernyms,None,None,None,indirect_hypernyms,None,indirect_hypernyms,None
part_meronyms,None,None,None,indirect_hypernyms,indirect_hypernyms,None,None,None,indirect_hypernyms,indirect_part_meronyms,None,None,None,member_meronyms,indirect_hypernyms,None,indirect_hypernyms,None,None,None,indirect_hypernyms,None,None,None,None
None,None,None,indirect_hypernyms,identity,None,None,None,None,indirect_hypernyms,indirect_hypernyms,member_meronyms,indirect_hypernyms,None,None,None,None,None,indirect_hypernyms,identity,None,None,None,None,None,None
co_hyponyms,None,None,None,None,None,indirect_hypernyms,None,None,indirect_hypernyms,member_meronyms,indirect_part_meronyms,indirect_part_meronyms,None,indirect_hypernyms,indirect_hypernyms,None,None,None,None,hypernyms,None,indirect_hypernyms,indirect_hypernyms,indirect_part_meronyms,indirect_hypernyms
None,None,None,None,None,None,None,None,indirect_hypernyms,None,indirect_hypernyms,None,indirect_hypernyms,indirect_hypernyms,indirect_hypernyms,indirect_part_meronyms,identity,co_hyponyms,None,indirect_part_meronyms,indirect_hypernyms,indirect_part_meronyms,member_meronyms,None,None,co_hyponyms
indirect_hypernyms,None,indirect_hyponyms,None,co_hyponyms,None,None,None,None,None,None,indirect_hypernyms,None,None,None,indirect_hypernyms,indirect_hypernyms,None,indirect_hypernyms,indirect_hypernyms,None,None,identity,None,None,None
None,None,indirect_hypernyms,indirect_hypernyms,None,None,None,indirect_hypernyms,member_meronyms,None,None,None,None,indirect_hypernyms,indirect_hypernyms,indirect_hypernyms,indirect_hypernyms,indirect_hypernyms,None,None,None,indirect_hypernyms,indirect_hypernyms,indirect_hypernyms,None,None
None,indirect_hypernyms,None,identity,None,indirect_hypernyms,None,None,None,None,identity,None,None,indirect_part_meronyms,None,None,None,indirect_hypernyms,identity,indirect_hypernyms,indirect_part_meronyms,None,None,None,indirect_hypernyms,None
None,None,None,None,indirect_hypernyms,None,None,None,None,member_meronyms,None,indirect_hypernyms,None,None,indirect_part_meronyms,None,None,indirect_hypernyms,None,indirect_hypernyms,indirect_hypernyms,None,indirect_hypernyms,member_meronyms,None,None
None,indirect_hypernyms,indirect_hypernyms,None,None,None,None,None,None,identity,None,None,co_hyponyms,member_meronyms,None,identity,None,None,indirect_hypernyms,None,None,None,indirect_part_meronyms,identity,None,None
None,None,None,co_hyponyms,None,indirect_hypernyms,None,indirect_hypernyms,None,None,indirect_hypernyms,identity,None,None,None,None,None,indirect_hypernyms,indirect_part_meronyms,None,None,None,None,None,identity,indirect_hypernyms
indirect_hypernyms,indirect_hypernyms,None,None,None,None,None,None,None,indirect_hypernyms,None,None,None,hypernyms,None,None,indirect_part_meronyms,None,None,None,None,indirect_hypernyms,None,indirect_hypernyms,None,co_hyponyms
None,None,part_meronyms,indirect_hypernyms,None,None,None,None,indirect_hypernyms,None,None,indirect_hypernyms,None,indirect_hypernyms,None,None,None,None,None,None,None,None,None,None,indirect_hypernyms,None
None,None,indirect_hypernyms,None,indirect_hypernyms,indirect_hypernyms,None,co_hyponyms,None,None,indirect_hypernyms,None,None,None,None,None,None,None,None,None,indirect_hypernyms,identity,None,None,None,None
None,co_hyponyms,None,None,indirect_hypernyms,None,identity,None,None,indirect_hypernyms,indirect_hypernyms,indirect_hypernyms,identity,None,indirect_hypernyms,None,indirect_hypernyms,None,None,None,identity,indirect_hypernyms,indirect_hypernyms,indirect_hypernyms,None,None
None,None,None,None,None,None,None,indirect_hypernyms,identity,None,None,None,indirect_hypernyms,None,None,None,indirect_hypernyms,None,None,None,None,None,None,None,None,indirect_hypernyms
indirect_hypernyms,None,None,None,None,None,indirect_hypernyms,indirect_hypernyms,None,None,None,None,None,None,None,None,indirect_hypernyms,None,None,None,None,None,None,None,None,None
indirect_hypernyms,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,indirect_hypernyms,None,None,None,None,indirect_part_meronyms,None,None
co_hyponyms,None,co_hyponyms,indirect_hypernyms,None,indirect_hyponyms,None,None,None,indirect_hypernyms,None,None,None,None,identity,None,None,co_hyponyms,member_meronyms,None,None,None,None,None,None,None
None,None,None,indirect_hyponyms,None,indirect_hypernyms,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
indirect_hypernyms,None,None,None,indirect_hypernyms,None,None,None,None,None,None,None,None,None,None,None,None,None,None,co_hyponyms,None,None,None,None,None,None
None,None,None,None,indirect_hyponyms,None,None,None,None,None,None,None,None,indirect_hypernyms,None,None,None,identity,None,None,None,None,None,None,None,None
None,co_hyponyms,None,indirect_hypernyms,None,None,co_hyponyms,None,None,None,None,None,indirect_hypernyms,None,None,None,None,None,None,None,None,None,indirect_hypernyms,None,None,co_hyponyms
None,part_meronyms,co_hyponyms,None,None,None,None,indirect_hypernyms,None,indirect_hypernyms,None,None,indirect_hypernyms,None,None,None,None,None,indirect_hypernyms,None,None,None,None,co_hyponyms,None,None
None,indirect_hypernyms,indirect_hypernyms,co_hyponyms,None,co_hyponyms,None,None,None,None,None,None,None,None,None,hyponyms,hyponyms,None,None,None,None,co_hyponyms,None,hyponyms,None,None
None,None,None,None,None,None,None,None,co_hyponyms,None,None,None,None,None,None,indirect_hypernyms,None,hyponyms,None,None,indirect_hyponyms,None,None,None,None,None
None,None,None,None,None,None,None,None,indirect_hypernyms,None,None,None,None,None,co_hyponyms,indirect_hypernyms,None,co_hyponyms,None,None,None,None,None,None,None,indirect_hyponyms
None,indirect_hypernyms,co_hyponyms,None,co_hyponyms,indirect_hypernyms,None,None,None,None,indirect_hypernyms,None,None,None,indirect_hypernyms,None,None,None,indirect_hypernyms,None,None,indirect_hypernyms,None,None,None,None
None,None,indirect_hypernyms,None,None,None,co_hyponyms,indirect_hypernyms,None,None,None,indirect_hypernyms,None,indirect_hypernyms,None,None,None,None,None,None,None,None,co_hyponyms,None,hyponyms,None
None,indirect_hypernyms,None,None,None,None,None,None,None,None,None,co_hyponyms,None,None,None,None,None,None,None,None,None,indirect_hyponyms,None,None,co_hyponyms,None
None,None,None,None,None,None,None,None,None,None,None,None,None,indirect_hyponyms,hyponyms,None,None,indirect_hypernyms,co_hyponyms,indirect_hypernyms,None,None,None,indirect_hypernyms,indirect_hypernyms,None
None,None,None,None,co_hyponyms,None,None,None,None,co_hyponyms,co_hyponyms,None,None,co_hyponyms,None,None,None,indirect_hypernyms,None,indirect_hyponyms,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,co_hyponyms,None,None,None,co_hyponyms,None,None,None,None,co_hyponyms,None,None,None,None,None
None,None,None,co_hyponyms,None,indirect_hypernyms,None,None,None,None,None,None,co_hyponyms,None,None,None,indirect_hypernyms,None,None,None,None,None,None,None,None,hyponyms
None,None,None,None,None,None,None,indirect_hyponyms,None,None,None,None,hyponyms,None,None,None,co_hyponyms,None,hyponyms,None,indirect_hypernyms,None,None,None,None,None
None,None,None,None,None,co_hyponyms,indirect_hyponyms,None,indirect_hypernyms,None,indirect_hypernyms,None,None,hyponyms,None,None,None,None,co_hyponyms,indirect_hypernyms,None,None,hyponyms,None,indirect_hypernyms,None
indirect_hypernyms,None,None,None,hyponyms,None,indirect_hypernyms,None,None,hyponyms,co_hyponyms,None,None,None,None,indirect_hyponyms,None,None,None,None,co_hyponyms,co_hyponyms,None,None,None,indirect_hypernyms
None,None,None,None,None,None,None,hyponyms,None,indirect_hyponyms,hyponyms,indirect_hyponyms,None,None,None,None,None,None,None,co_hyponyms,hyponyms,indirect_hypernyms,indirect_hyponyms,None,None,None
None,None,None,None,None,None,hyponyms,co_hyponyms,None,None,None,None,None,None,None,co_hyponyms,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,indirect_hyponyms,None,None,None,None,None,None,None,None,indirect_hyponyms,None,None,None,None,None,None,None,None
None,co_hyponyms,None,None,None,None,None,None,hyponyms,None,indirect_hyponyms,hyponyms,indirect_hyponyms,None,None,None,None,None,None,hyponyms,None,hyponyms,None,indirect_hyponyms,None,indirect_hypernyms
None,hyponyms,None,None,None,None,None,None,co_hyponyms,None,None,indirect_hypernyms,None,co_hyponyms,co_hyponyms,None,co_hyponyms,None,None,None,None,None,None,co_hyponyms,None,None
hyponyms,None,None,hyponyms,None,None,None,None,None,co_hyponyms,None,None,None,None,None,None,None,None,indirect_hyponyms,None,None,None,indirect_hypernyms,None,indirect_hyponyms,None
None,None,hyponyms,None,None,hyponyms,None,None,None,None,None,None,None,None,indirect_hyponyms,None,indirect_hyponyms,None,None,None,None,None,co_hyponyms,None,co_hyponyms,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
indirect_hypernyms,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
