W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,WS353
(food|fruit),(seven|series),(money|cash),(journal|association),(planet|moon),(food|fruit),(planet|moon),(planet|moon),(computer|news),(computer|news),(computer|news),(computer|news),(planet|moon),(computer|news),(music|project),(glass|metal),(psychology|science),(computer|news),(five|month),(image|surface),(computer|news),(image|surface),(five|month),(glass|metal),(type|kind),(wood|forest)
(money|cash),(psychology|science),(planet|moon),(money|cash),(glass|metal),(psychology|science),(glass|metal),(journal|association),(psychology|science),(psychology|science),(planet|moon),(five|month),(type|kind),(planet|moon),(computer|news),(type|kind),(journal|association),(five|month),(image|surface),(type|kind),(psychology|science),(journal|association),(music|project),(five|month),(psychology|science),(profit|loss)
(planet|sun),(skin|eye),(king|queen),(food|fruit),(five|month),(five|month),(media|radio),(food|fruit),(five|month),(music|project),(music|project),(psychology|science),(five|month),(journal|association),(media|radio),(music|project),(media|radio),(planet|sun),(music|project),(planet|moon),(planet|sun),(five|month),(psychology|science),(planet|sun),(food|fruit),(rock|jazz)
(psychology|science),(money|cash),(food|fruit),(psychology|science),(journal|association),(glass|metal),(image|surface),(five|month),(journal|association),(five|month),(five|month),(food|fruit),(music|project),(image|surface),(five|month),(media|radio),(food|fruit),(type|kind),(population|development),(journal|association),(image|surface),(type|kind),(glass|metal),(planet|moon),(money|dollar),(century|year)
(journal|association),(food|fruit),(five|month),(planet|sun),(media|radio),(coast|hill),(money|cash),(computer|news),(planet|sun),(planet|moon),(image|surface),(planet|moon),(planet|sun),(type|kind),(glass|metal),(image|surface),(school|center),(planet|moon),(journal|association),(glass|metal),(population|development),(population|development),(school|center),(image|surface),(music|project),(food|fruit)
(train|car),(five|month),(skin|eye),(media|radio),(image|surface),(money|cash),(computer|news),(image|surface),(music|project),(food|fruit),(glass|metal),(image|surface),(image|surface),(glass|metal),(food|fruit),(journal|association),(glass|metal),(journal|association),(planet|sun),(planet|sun),(food|fruit),(music|project),(population|development),(journal|association),(planet|moon),(media|radio)
(student|professor),(planet|sun),(coast|hill),(century|year),(coast|hill),(century|year),(five|month),(media|radio),(image|surface),(media|radio),(media|radio),(music|project),(media|radio),(music|project),(planet|moon),(planet|sun),(music|project),(music|project),(school|center),(planet|star),(school|center),(school|center),(food|fruit),(type|kind),(image|surface),(physics|chemistry)
(coast|forest),(coast|forest),(planet|sun),(five|month),(planet|sun),(media|radio),(food|fruit),(money|cash),(food|fruit),(money|cash),(population|development),(money|cash),(journal|association),(media|radio),(journal|association),(planet|moon),(type|kind),(population|development),(glass|metal),(music|project),(music|project),(food|fruit),(type|kind),(media|radio),(population|development),(street|block)
(wood|forest),(coast|hill),(plane|car),(experience|music),(money|cash),(computer|news),(music|project),(planet|sun),(money|cash),(coast|hill),(planet|sun),(media|radio),(food|fruit),(school|center),(school|center),(school|center),(planet|moon),(media|radio),(planet|star),(school|center),(money|cash),(planet|sun),(money|cash),(music|project),(consumer|energy),(opera|performance)
(planet|star),(architecture|century),(century|year),(street|block),(computer|news),(student|professor),(planet|sun),(planet|star),(media|radio),(image|surface),(money|cash),(population|development),(money|cash),(space|chemistry),(experience|music),(money|currency),(life|death),(school|center),(ministry|culture),(media|radio),(media|radio),(planet|moon),(planet|moon),(money|cash),(planet|sun),(football|basketball)
(professor|doctor),(train|car),(train|car),(architecture|century),(century|year),(image|surface),(school|center),(music|project),(coast|hill),(skin|eye),(food|fruit),(planet|sun),(experience|music),(planet|sun),(consumer|energy),(population|development),(population|development),(life|death),(money|dollar),(population|development),(glass|metal),(space|chemistry),(space|chemistry),(food|fruit),(media|radio),(student|professor)
(media|radio),(practice|institution),(consumer|energy),(coast|forest),(consumer|energy),(money|currency),(experience|music),(school|center),(space|chemistry),(life|death),(school|center),(school|center),(train|car),(population|development),(money|cash),(life|term),(planet|sun),(space|chemistry),(planet|moon),(food|fruit),(planet|moon),(media|radio),(consumer|energy),(school|center),(money|cash),(television|radio)
(practice|institution),(media|radio),(coast|forest),(image|surface),(music|project),(planet|sun),(money|currency),(experience|music),(street|place),(planet|sun),(planet|star),(experience|music),(space|chemistry),(life|term),(space|chemistry),(food|fruit),(space|chemistry),(planet|star),(media|radio),(money|dollar),(cup|object),(experience|music),(media|radio),(life|death),(skin|eye),(psychology|science)
(money|currency),(drink|mother),(architecture|century),(train|car),(planet|star),(coast|forest),(life|death),(consumer|energy),(planet|star),(space|chemistry),(coast|hill),(space|chemistry),(population|development),(planet|star),(population|development),(life|death),(street|block),(food|fruit),(food|fruit),(space|chemistry),(space|chemistry),(skin|eye),(planet|sun),(life|term),(journal|association),(professor|doctor)
(money|dollar),(consumer|energy),(media|radio),(coast|hill),(experience|music),(train|car),(century|year),(space|chemistry),(money|dollar),(population|development),(experience|music),(planet|star),(planet|star),(money|cash),(life|death),(money|cash),(life|term),(consumer|energy),(life|death),(cup|object),(money|dollar),(energy|secretary),(life|term),(space|chemistry),(life|death),(street|place)
(investigation|effort),(century|year),(planet|star),(skin|eye),(train|car),(money|dollar),(population|development),(coast|hill),(cup|substance),(money|currency),(life|death),(coast|forest),(life|death),(experience|music),(planet|sun),(ministry|culture),(ministry|culture),(energy|secretary),(experience|music),(life|death),(experience|music),(money|cash),(life|death),(skin|eye),(train|car),(train|car)
(drink|mother),(wood|forest),(image|surface),(planet|star),(space|chemistry),(consumer|energy),(coast|hill),(life|death),(experience|music),(school|center),(consumer|energy),(money|currency),(school|center),(money|dollar),(planet|star),(street|block),(skin|eye),(ministry|culture),(money|cash),(experience|music),(planet|star),(man|governor),(money|dollar),(money|dollar),(school|center),(skin|eye)
(coast|hill),(planet|star),(experience|music),(money|currency),(car|flight),(music|project),(train|car),(century|year),(cup|food),(coast|forest),(skin|eye),(life|term),(cup|food),(consumer|energy),(money|currency),(space|chemistry),(consumer|energy),(money|dollar),(money|currency),(cup|article),(cup|food),(life|death),(experience|music),(consumer|energy),(planet|star),(plane|car)
(consumer|energy),(student|professor),(car|flight),(space|chemistry),(life|death),(space|chemistry),(cup|food),(coast|forest),(century|year),(century|year),(space|chemistry),(man|governor),(life|term),(skin|eye),(student|professor),(train|car),(experience|music),(life|term),(life|term),(money|cash),(train|car),(cup|food),(planet|star),(experience|music),(space|chemistry),(glass|metal)
(peace|plan),(plane|car),(drink|mother),(computer|news),(student|professor),(plane|car),(life|term),(population|development),(life|death),(experience|music),(man|governor),(consumer|energy),(money|currency),(life|death),(plane|car),(experience|music),(plane|car),(century|year),(consumer|energy),(train|car),(life|death),(student|professor),(energy|secretary),(coast|hill),(money|currency),(man|governor)
(plane|car),(cup|substance),(cup|substance),(cup|substance),(skin|eye),(population|development),(architecture|century),(cup|food),(population|development),(planet|star),(energy|secretary),(life|death),(coast|forest),(street|block),(cup|food),(coast|forest),(money|cash),(skin|eye),(space|chemistry),(coast|hill),(life|term),(train|car),(money|currency),(planet|star),(cup|food),(cup|food)
(street|place),(street|place),(money|currency),(street|place),(population|development),(planet|star),(money|dollar),(wood|forest),(school|center),(life|term),(money|currency),(problem|airport),(coast|hill),(wood|forest),(life|term),(consumer|energy),(train|car),(money|currency),(energy|secretary),(cup|food),(ministry|culture),(money|currency),(cup|object),(ministry|culture),(cup|object),(travel|activity)
(car|flight),(money|currency),(start|year),(consumer|energy),(cup|substance),(problem|airport),(space|chemistry),(life|term),(skin|eye),(money|dollar),(problem|airport),(skin|eye),(plane|car),(cup|substance),(money|dollar),(money|dollar),(problem|airport),(street|block),(cup|food),(ministry|culture),(consumer|energy),(problem|airport),(skin|eye),(coast|forest),(cup|substance),(journal|association)
(start|match),(start|year),(computer|news),(population|development),(money|currency),(experience|music),(planet|star),(train|car),(street|block),(problem|airport),(ministry|culture),(ministry|culture),(ministry|culture),(coast|hill),(ministry|culture),(plane|car),(energy|secretary),(coast|hill),(skin|eye),(life|term),(energy|secretary),(planet|star),(problem|airport),(cup|object),(life|term),(street|children)
(century|year),(experience|music),(wood|forest),(music|project),(plane|car),(street|place),(plane|car),(student|professor),(ministry|culture),(energy|secretary),(life|term),(street|block),(money|dollar),(plane|car),(street|block),(planet|star),(planet|star),(man|governor),(coast|forest),(coast|forest),(street|block),(life|term),(president|medal),(money|currency),(ministry|culture),(car|flight)
(month|hotel),(problem|airport),(street|place),(student|professor),(cup|food),(school|center),(consumer|energy),(car|flight),(life|term),(architecture|century),(cup|food),(money|dollar),(start|year),(cup|food),(coast|hill),(problem|airport),(money|dollar),(problem|airport),(street|block),(consumer|energy),(cup|article),(ministry|culture),(street|block),(cup|substance),(energy|secretary),(space|chemistry)
(drink|car),(professor|doctor),(student|professor),(life|death),(life|term),(wood|forest),(cup|substance),(street|place),(consumer|energy),(plane|car),(money|dollar),(cup|food),(man|governor),(ministry|culture),(skin|eye),(coast|hill),(man|governor),(train|car),(man|governor),(money|currency),(plane|car),(coast|forest),(ministry|culture),(problem|airport),(street|block),(peace|plan)
(five|month),(image|surface),(century|nation),(life|term),(coast|forest),(start|year),(cup|article),(money|currency),(plane|car),(consumer|energy),(architecture|century),(street|place),(street|place),(coast|forest),(car|flight),(cup|food),(street|place),(coast|forest),(problem|airport),(problem|airport),(problem|airport),(plane|car),(man|governor),(cup|food),(man|governor),(consumer|energy)
(century|nation),(money|dollar),(cup|article),(plane|car),(money|dollar),(life|death),(street|place),(man|governor),(money|currency),(student|professor),(coast|forest),(student|professor),(consumer|energy),(problem|airport),(street|place),(man|governor),(money|currency),(cup|object),(plane|car),(street|block),(start|year),(money|dollar),(cup|article),(car|flight),(street|place),(ministry|culture)
(life|death),(media|gain),(problem|airport),(car|flight),(cup|article),(life|term),(street|block),(money|dollar),(architecture|century),(street|place),(century|year),(architecture|century),(energy|secretary),(energy|secretary),(train|car),(street|place),(student|professor),(cup|substance),(coast|hill),(energy|secretary),(student|professor),(cup|object),(peace|plan),(energy|secretary),(problem|airport),(investigation|effort)
(profit|loss),(century|nation),(professor|doctor),(cup|object),(wood|forest),(skin|eye),(ministry|culture),(street|block),(coast|forest),(cup|food),(cup|article),(train|car),(cup|object),(car|flight),(energy|secretary),(energy|secretary),(start|year),(experience|music),(cup|object),(wood|forest),(coast|forest),(professor|doctor),(start|year),(president|medal),(president|medal),(image|surface)
(school|center),(ministry|culture),(space|chemistry),(century|nation),(architecture|century),(car|flight),(cup|object),(ministry|culture),(problem|airport),(cup|substance),(train|car),(century|year),(century|year),(peace|plan),(cup|object),(cup|article),(coast|hill),(car|flight),(student|professor),(skin|eye),(money|currency),(consumer|energy),(street|place),(plane|car),(century|year),(life|term)
(start|year),(car|flight),(street|block),(money|dollar),(media|gain),(ministry|culture),(start|year),(architecture|century),(cup|article),(ministry|culture),(cup|object),(coast|hill),(cup|article),(cup|object),(cup|substance),(century|year),(wood|forest),(money|cash),(holy|sex),(century|year),(cup|substance),(century|year),(train|car),(student|professor),(experience|music),(start|match)
(travel|activity),(investigation|effort),(practice|institution),(start|year),(school|center),(street|block),(student|professor),(start|year),(student|professor),(man|governor),(start|year),(cup|object),(problem|airport),(man|governor),(street|children),(cup|object),(cup|food),(architecture|century),(cup|article),(plane|car),(skin|eye),(street|block),(wood|forest),(holy|sex),(car|flight),(computer|news)
(space|chemistry),(drink|car),(travel|activity),(cup|food),(century|nation),(architecture|century),(man|governor),(cup|article),(train|car),(street|block),(street|block),(car|flight),(street|block),(street|place),(cup|article),(cup|substance),(cup|object),(plane|car),(street|children),(student|professor),(man|governor),(street|place),(plane|car),(travel|activity),(student|professor),(coast|hill)
(ministry|culture),(cup|food),(media|gain),(wood|forest),(man|governor),(cup|substance),(coast|forest),(skin|eye),(car|flight),(car|flight),(wood|forest),(energy|secretary),(car|flight),(century|year),(problem|airport),(car|flight),(coast|forest),(cup|food),(wood|forest),(cup|substance),(century|year),(president|medal),(coast|forest),(man|governor),(cup|article),(attempt|peace)
(opera|performance),(space|chemistry),(peace|plan),(energy|secretary),(street|place),(man|governor),(skin|eye),(problem|airport),(man|governor),(train|car),(holy|sex),(cup|substance),(holy|sex),(architecture|century),(century|year),(student|professor),(president|medal),(cup|article),(president|medal),(street|place),(street|place),(holy|sex),(cup|food),(train|car),(architecture|century),(focus|life)
(attempt|peace),(travel|activity),(cup|food),(ministry|culture),(professor|doctor),(energy|secretary),(car|flight),(energy|secretary),(start|year),(wood|forest),(opera|performance),(street|children),(start|match),(train|car),(peace|plan),(wood|forest),(car|flight),(student|professor),(street|place),(start|year),(stock|life),(coast|hill),(century|year),(wood|forest),(start|year),(start|year)
(opera|industry),(street|block),(population|development),(school|center),(start|year),(cup|food),(media|gain),(plane|car),(holy|sex),(start|year),(street|place),(wood|forest),(president|medal),(start|year),(man|governor),(skin|eye),(stock|life),(street|place),(century|year),(media|gain),(coast|hill),(start|year),(student|professor),(direction|combination),(wood|forest),(development|issue)
(life|term),(cup|article),(ministry|culture),(drink|mother),(ministry|culture),(holy|sex),(energy|secretary),(opera|performance),(energy|secretary),(cup|article),(car|flight),(start|year),(architecture|century),(money|currency),(coast|forest),(holy|sex),(century|year),(start|year),(media|gain),(holy|sex),(president|medal),(cup|article),(holy|sex),(street|place),(coast|forest),(media|trading)
(energy|secretary),(sugar|approach),(life|death),(cup|article),(street|block),(century|nation),(problem|airport),(holy|sex),(cup|object),(direction|combination),(student|professor),(cup|article),(media|gain),(cup|article),(architecture|century),(president|medal),(holy|sex),(holy|sex),(car|flight),(man|governor),(architecture|century),(car|flight),(coast|hill),(stock|life),(plane|car),(architecture|century)
(direction|combination),(computer|news),(life|term),(problem|airport),(travel|activity),(cup|article),(century|nation),(start|match),(stock|life),(opera|performance),(cup|substance),(century|nation),(skin|eye),(media|gain),(professor|doctor),(month|hotel),(street|children),(stock|life),(peace|plan),(president|medal),(development|issue),(wood|forest),(street|children),(peace|plan),(media|gain),(population|development)
(architecture|century),(start|match),(money|dollar),(focus|life),(cup|object),(media|gain),(wood|forest),(peace|plan),(professor|doctor),(cup|object),(plane|car),(plane|car),(wood|forest),(student|professor),(travel|activity),(focus|life),(cup|article),(focus|life),(stock|life),(direction|combination),(wood|forest),(cup|substance),(cup|substance),(cup|article),(opera|performance),(stock|live)
(experience|music),(energy|secretary),(holy|sex),(opera|performance),(opera|performance),(sugar|approach),(stock|life),(cup|substance),(wood|forest),(media|gain),(minority|peace),(holy|sex),(travel|activity),(holy|sex),(start|year),(architecture|century),(development|issue),(direction|combination),(architecture|century),(car|flight),(holy|sex),(architecture|century),(media|gain),(street|block),(coast|hill),(cup|object)
(cup|food),(peace|plan),(energy|secretary),(media|gain),(problem|airport),(professor|doctor),(development|issue),(cup|object),(century|nation),(holy|sex),(century|nation),(peace|plan),(student|professor),(street|children),(holy|sex),(start|year),(cup|substance),(president|medal),(focus|life),(minority|peace),(stock|live),(peace|plan),(car|flight),(media|gain),(holy|sex),(peace|atmosphere)
(development|issue),(population|development),(music|project),(man|governor),(energy|secretary),(peace|plan),(holy|sex),(stock|life),(street|children),(century|nation),(president|medal),(president|medal),(stock|life),(opera|performance),(direction|combination),(street|children),(peace|plan),(media|gain),(cup|substance),(architecture|century),(direction|combination),(street|children),(direction|combination),(century|year),(direction|combination),(minority|peace)
(media|trading),(holy|sex),(start|match),(travel|activity),(focus|life),(practice|institution),(street|children),(century|nation),(peace|plan),(travel|activity),(stock|life),(media|gain),(street|children),(opera|industry),(wood|forest),(opera|performance),(opera|performance),(media|trading),(train|car),(focus|life),(car|flight),(direction|combination),(focus|life),(street|children),(stock|life),(music|project)
(image|surface),(opera|performance),(opera|performance),(practice|institution),(peace|plan),(cup|object),(focus|life),(opera|industry),(media|gain),(street|children),(direction|combination),(stock|life),(direction|combination),(stock|life),(president|medal),(stock|life),(direction|combination),(opera|performance),(professor|doctor),(stock|life),(street|children),(stock|life),(peace|atmosphere),(opera|performance),(professor|doctor),(report|gain)
(cup|substance),(month|hotel),(man|governor),(professor|doctor),(development|issue),(street|children),(professor|doctor),(street|children),(opera|industry),(focus|life),(peace|atmosphere),(opera|performance),(minority|peace),(president|medal),(century|nation),(media|gain),(architecture|century),(street|children),(start|year),(start|match),(media|gain),(opera|performance),(architecture|century),(professor|doctor),(stock|live),(seven|series)
(seven|series),(opera|industry),(sugar|approach),(peace|plan),(practice|institution),(drink|mother),(peace|plan),(focus|life),(focus|life),(peace|plan),(focus|life),(professor|doctor),(peace|plan),(development|issue),(opera|industry),(peace|plan),(professor|doctor),(wood|forest),(century|nation),(opera|performance),(peace|plan),(stock|live),(report|gain),(architecture|century),(peace|plan),(experience|music)
(president|medal),(school|center),(drink|car),(development|issue),(direction|combination),(direction|combination),(start|match),(media|gain),(president|medal),(stock|life),(professor|doctor),(direction|combination),(cup|substance),(peace|atmosphere),(sugar|approach),(direction|combination),(focus|life),(peace|plan),(direction|combination),(opera|industry),(opera|performance),(media|gain),(development|issue),(start|year),(money|operation),(school|center)
(street|block),(life|death),(school|center),(sugar|approach),(sugar|approach),(focus|life),(opera|industry),(development|issue),(drink|mother),(development|issue),(street|children),(month|hotel),(development|issue),(professor|doctor),(stock|life),(century|nation),(media|gain),(stock|live),(development|issue),(peace|plan),(minority|peace),(focus|life),(professor|doctor),(start|match),(opera|industry),(five|month)
(media|gain),(cup|object),(development|issue),(media|trading),(stock|life),(start|match),(stock|live),(drink|mother),(opera|performance),(opera|industry),(opera|industry),(opera|industry),(focus|life),(century|nation),(media|gain),(line|insurance),(line|insurance),(professor|doctor),(opera|performance),(professor|doctor),(focus|life),(start|match),(opera|performance),(line|insurance),(street|children),(money|operation)
(population|development),(man|governor),(report|gain),(attempt|peace),(holy|sex),(stock|life),(sugar|approach),(stock|live),(start|match),(money|operation),(media|gain),(drink|mother),(peace|atmosphere),(focus|life),(opera|performance),(travel|activity),(stock|live),(line|insurance),(money|operation),(street|children),(practice|institution),(century|nation),(century|nation),(focus|life),(month|hotel),(governor|interview)
(stock|live),(report|gain),(peace|atmosphere),(direction|combination),(opera|industry),(opera|performance),(report|gain),(money|operation),(development|issue),(report|gain),(drink|mother),(report|gain),(drink|mother),(sugar|approach),(start|match),(development|issue),(opera|industry),(start|match),(peace|atmosphere),(century|nation),(century|nation),(month|hotel),(governor|interview),(attempt|peace),(focus|life),(practice|institution)
(focus|life),(life|term),(media|trading),(peace|atmosphere),(start|match),(travel|activity),(opera|performance),(professor|doctor),(direction|combination),(president|medal),(development|issue),(attempt|peace),(opera|performance),(stock|live),(development|issue),(opera|industry),(minority|peace),(century|nation),(travel|activity),(money|operation),(opera|industry),(development|issue),(month|hotel),(money|operation),(minority|peace),(century|nation)
(man|governor),(possibility|girl),(cup|object),(opera|industry),(drink|mother),(drink|car),(media|trading),(travel|activity),(money|operation),(professor|doctor),(peace|plan),(development|issue),(stock|live),(travel|activity),(focus|life),(attempt|peace),(century|nation),(report|gain),(sugar|approach),(sugar|approach),(money|operation),(money|operation),(start|match),(peace|atmosphere),(line|insurance),(coast|forest)
(stock|life),(development|issue),(investigation|effort),(street|children),(report|gain),(attempt|peace),(money|operation),(direction|combination),(attempt|peace),(attempt|peace),(sugar|approach),(start|match),(attempt|peace),(direction|combination),(minority|peace),(professor|doctor),(sugar|approach),(minority|peace),(opera|industry),(peace|atmosphere),(professor|doctor),(practice|institution),(money|operation),(stock|live),(start|match),(drink|car)
(computer|news),(direction|combination),(attempt|peace),(stock|life),(money|operation),(president|medal),(month|hotel),(peace|atmosphere),(sugar|approach),(peace|atmosphere),(stock|live),(focus|life),(opera|industry),(practice|institution),(line|insurance),(sugar|approach),(peace|atmosphere),(travel|activity),(start|match),(development|issue),(profit|loss),(opera|industry),(stock|live),(development|issue),(development|issue),(president|medal)
(report|gain),(profit|loss),(month|hotel),(holy|sex),(media|trading),(stock|live),(president|medal),(president|medal),(month|hotel),(start|match),(start|match),(stock|live),(drink|car),(start|match),(profit|loss),(profit|loss),(attempt|peace),(development|issue),(stock|live),(practice|institution),(peace|atmosphere),(sugar|approach),(minority|peace),(opera|industry),(century|nation),(peace|insurance)
(peace|insurance),(attempt|peace),(direction|combination),(report|gain),(attempt|peace),(opera|industry),(drink|mother),(attempt|peace),(stock|live),(minority|peace),(money|operation),(media|trading),(report|gain),(minority|peace),(report|gain),(start|match),(money|operation),(opera|industry),(report|gain),(report|gain),(media|trading),(governor|interview),(stock|life),(month|hotel),(sugar|approach),(media|gain)
(holy|sex),(street|children),(street|children),(start|match),(street|children),(development|issue),(attempt|peace),(sugar|approach),(drink|car),(sugar|approach),(attempt|peace),(money|operation),(media|trading),(money|operation),(stock|live),(money|operation),(travel|activity),(peace|atmosphere),(minority|peace),(month|hotel),(attempt|peace),(report|gain),(profit|loss),(century|nation),(drink|car),(line|insurance)
(street|children),(music|project),(stock|life),(month|hotel),(stock|live),(report|gain),(direction|combination),(practice|institution),(peace|atmosphere),(stock|live),(governor|interview),(peace|atmosphere),(line|insurance),(month|hotel),(money|operation),(report|gain),(start|match),(month|hotel),(line|insurance),(attempt|peace),(travel|activity),(minority|peace),(opera|industry),(governor|interview),(report|gain),(drink|mother)
(minority|peace),(peace|atmosphere),(opera|industry),(money|operation),(peace|atmosphere),(media|trading),(practice|institution),(month|hotel),(travel|activity),(drink|mother),(travel|activity),(sugar|approach),(century|nation),(line|insurance),(investigation|effort),(minority|peace),(report|gain),(sugar|approach),(media|trading),(travel|activity),(sugar|approach),(profit|loss),(line|insurance),(investigation|effort),(travel|activity),(opera|industry)
(cup|article),(stock|live),(stock|live),(possibility|girl),(line|insurance),(month|hotel),(travel|activity),(report|gain),(minority|peace),(line|insurance),(media|trading),(minority|peace),(month|hotel),(report|gain),(governor|interview),(practice|institution),(month|hotel),(money|operation),(drink|mother),(stock|live),(start|match),(media|trading),(attempt|peace),(report|gain),(peace|atmosphere),(cup|article)
(problem|airport),(governor|interview),(focus|life),(drink|car),(drink|car),(money|operation),(investigation|effort),(line|insurance),(profit|loss),(practice|institution),(line|insurance),(practice|institution),(money|operation),(governor|interview),(month|hotel),(peace|atmosphere),(drink|mother),(profit|loss),(profit|loss),(media|trading),(line|insurance),(travel|activity),(practice|institution),(sugar|approach),(drink|mother),(problem|airport)
(sugar|approach),(focus|life),(president|medal),(president|medal),(president|medal),(minority|peace),(line|insurance),(media|trading),(report|gain),(drink|car),(report|gain),(drink|car),(professor|doctor),(profit|loss),(drink|mother),(media|trading),(governor|interview),(governor|interview),(attempt|peace),(drink|mother),(report|gain),(peace|atmosphere),(sugar|approach),(profit|loss),(profit|loss),(direction|combination)
(governor|interview),(president|medal),(money|operation),(profit|loss),(investigation|effort),(peace|atmosphere),(profit|loss),(drink|car),(practice|institution),(governor|interview),(month|hotel),(governor|interview),(sugar|approach),(attempt|peace),(peace|atmosphere),(peace|insurance),(peace|insurance),(practice|institution),(month|hotel),(governor|interview),(month|hotel),(peace|insurance),(investigation|effort),(drink|mother),(attempt|peace),(possibility|girl)
(peace|atmosphere),(media|trading),(minority|peace),(minority|peace),(month|hotel),(investigation|effort),(minority|peace),(investigation|effort),(line|insurance),(profit|loss),(practice|institution),(line|insurance),(practice|institution),(drink|mother),(attempt|peace),(stock|live),(profit|loss),(peace|insurance),(investigation|effort),(line|insurance),(drink|mother),(line|insurance),(drink|mother),(practice|institution),(governor|interview),(cup|substance)
(money|operation),(line|insurance),(profit|loss),(governor|interview),(possibility|girl),(profit|loss),(peace|atmosphere),(governor|interview),(media|trading),(month|hotel),(drink|car),(travel|activity),(profit|loss),(media|trading),(media|trading),(governor|interview),(media|trading),(drink|mother),(governor|interview),(profit|loss),(governor|interview),(attempt|peace),(possibility|girl),(media|trading),(peace|insurance),(month|hotel)
