actress,actor,hypernyms 
people,gun,None 
argue,prove,None 
reality,fantasy,None 
street,car,None 
child,adult,co_hyponyms 
argument,agreement,None 
couple,pair,identity 
begin,go,synonyms 
achieve,try,indirect_hyponyms 
hand,foot,indirect_hypernyms 
situation,condition,hypernyms 
agree,argue,None 
bottom,side,hypernyms 
word,newspaper,None 
friend,teacher,None 
arm,body,part_holonyms 
bird,turkey,indirect_hyponyms 
join,add,synonyms 
sun,sky,None 
condition,boy,None 
get,remain,None 
money,diamond,None 
chief,mayor,None 
room,cell,hyponyms 
discussion,argument,hyponyms 
long,narrow,None 
send,receive,co_hyponyms 
save,protect,None 
brother,soul,indirect_hypernyms 
god,priest,None 
action,course,hyponyms 
attention,interest,None 
task,job,identity 
beach,sea,None 
communication,television,indirect_hyponyms 
dollar,people,None 
leave,appear,indirect_hyponyms 
driver,pilot,None 
man,husband,None 
go,send,indirect_hyponyms 
motor,boat,None 
belief,opinion,identity 
battle,conquest,None 
door,floor,co_hyponyms 
adult,baby,indirect_hyponyms 
newspaper,information,None 
boy,soldier,None 
hole,agreement,None 
lose,get,synonyms 
woman,secretary,None 
destruction,construction,None 
book,theme,co_hyponyms 
become,seem,None 
boy,partner,None 
night,chapter,None 
lose,keep,antonyms 
intelligence,skill,co_hyponyms 
try,think,indirect_hypernyms 
doctor,professor,None 
take,obtain,synonyms 
foot,head,indirect_part_meronyms 
plate,bowl,co_hyponyms 
journey,conquest,None 
camera,president,None 
winner,goal,None 
second,minute,identity 
author,creator,indirect_hypernyms 
bad,great,synonyms 
easy,big,None 
decade,century,part_holonyms 
opinion,idea,synonyms 
island,task,None 
boat,car,hyponyms 
wealth,fame,None 
big,broad,synonyms 
bell,door,None 
sky,universe,part_holonyms 
opinion,choice,None 
car,highway,None 
winner,presence,None 
chapter,choice,None 
effort,difficulty,hyponyms 
era,decade,co_hyponyms 
presence,door,None 
argue,differ,entailments 
agree,differ,antonyms 
task,woman,None 
task,highway,None 
wealth,poverty,antonyms 
