actress,actor,hypernyms 
vehicle,bus,indirect_hyponyms 
style,fashion,identity 
communication,television,indirect_hyponyms 
dollar,people,None 
give,put,synonyms 
try,think,indirect_hypernyms 
baby,daughter,hypernyms 
achieve,try,indirect_hyponyms 
carry,bring,synonyms 
bottom,side,hypernyms 
come,bring,synonyms 
leader,manager,indirect_hyponyms 
strength,might,hypernyms 
agree,argue,None 
become,appear,None 
chief,mayor,None 
couple,pair,identity 
door,floor,co_hyponyms 
argument,agreement,None 
book,theme,co_hyponyms 
leave,appear,indirect_hyponyms 
brother,soul,indirect_hypernyms 
condition,boy,None 
day,morning,part_meronyms 
student,professor,None 
people,gun,None 
hard,easy,antonyms 
argue,prove,None 
money,diamond,None 
champion,winner,None 
begin,go,synonyms 
situation,condition,hypernyms 
idea,scheme,indirect_hyponyms 
motor,boat,None 
adult,baby,indirect_hyponyms 
bird,turkey,indirect_hyponyms 
wood,paper,None 
hole,wife,None 
man,husband,None 
send,receive,co_hyponyms 
driver,pilot,None 
bell,door,None 
room,cell,hyponyms 
sky,universe,part_holonyms 
battle,conquest,None 
boat,car,hyponyms 
attention,interest,None 
camera,president,None 
night,chapter,None 
action,course,hyponyms 
save,protect,None 
woman,secretary,None 
author,creator,indirect_hypernyms 
word,newspaper,None 
car,highway,None 
belief,opinion,identity 
intelligence,skill,co_hyponyms 
easy,big,None 
winner,goal,None 
island,task,None 
newspaper,information,None 
boy,soldier,None 
task,job,identity 
second,minute,identity 
destruction,construction,None 
take,obtain,synonyms 
presence,door,None 
become,seem,None 
journey,conquest,None 
hole,agreement,None 
agree,differ,antonyms 
wealth,fame,None 
decade,century,part_holonyms 
bad,great,synonyms 
doctor,professor,None 
boy,partner,None 
era,decade,co_hyponyms 
big,broad,synonyms 
plate,bowl,co_hyponyms 
chapter,choice,None 
opinion,idea,synonyms 
opinion,choice,None 
wealth,poverty,antonyms 
task,woman,None 
argue,differ,entailments 
task,highway,None 
winner,presence,None 
effort,difficulty,hyponyms 
