actress,actor,hypernyms 
friend,teacher,None 
style,fashion,identity 
chief,mayor,None 
august,month,indirect_hypernyms 
bring,send,hypernyms 
word,newspaper,None 
strength,might,hypernyms 
save,protect,None 
situation,condition,hypernyms 
join,add,synonyms 
boat,car,hyponyms 
girl,child,hyponyms 
wide,narrow,antonyms 
money,diamond,None 
communication,television,indirect_hyponyms 
student,professor,None 
lose,get,synonyms 
driver,pilot,None 
animal,person,co_hyponyms 
task,job,identity 
motor,boat,None 
room,cell,hyponyms 
send,receive,co_hyponyms 
begin,go,synonyms 
street,car,None 
get,remain,None 
god,priest,None 
attention,interest,None 
author,creator,indirect_hypernyms 
bottom,side,hypernyms 
reality,fantasy,None 
explain,prove,co_hyponyms 
day,morning,part_meronyms 
long,narrow,None 
condition,boy,None 
rice,boy,None 
argue,prove,None 
achieve,try,indirect_hyponyms 
leave,appear,indirect_hyponyms 
man,husband,None 
go,send,indirect_hyponyms 
hole,wife,None 
battle,conquest,None 
action,course,hyponyms 
argument,agreement,None 
newspaper,information,None 
try,think,indirect_hypernyms 
destruction,construction,None 
doctor,professor,None 
take,obtain,synonyms 
woman,secretary,None 
big,broad,synonyms 
winner,goal,None 
sky,universe,part_holonyms 
become,seem,None 
lose,keep,antonyms 
opinion,choice,None 
brother,soul,indirect_hypernyms 
bell,door,None 
boy,partner,None 
bird,turkey,indirect_hyponyms 
decade,century,part_holonyms 
door,floor,co_hyponyms 
intelligence,skill,co_hyponyms 
night,chapter,None 
second,minute,identity 
car,highway,None 
couple,pair,identity 
plate,bowl,co_hyponyms 
bad,great,synonyms 
boy,soldier,None 
island,task,None 
camera,president,None 
opinion,idea,synonyms 
easy,big,None 
adult,baby,indirect_hyponyms 
journey,conquest,None 
wealth,fame,None 
hole,agreement,None 
presence,door,None 
chapter,choice,None 
era,decade,co_hyponyms 
agree,differ,antonyms 
argue,differ,entailments 
winner,presence,None 
task,woman,None 
task,highway,None 
wealth,poverty,antonyms 
effort,difficulty,hyponyms 
