actress,actor,hypernyms 
foot,head,indirect_part_meronyms 
dollar,people,None 
long,narrow,None 
idea,scheme,indirect_hyponyms 
leave,appear,indirect_hyponyms 
molecule,air,None 
article,journal,None 
hole,wife,None 
room,cell,hyponyms 
brother,soul,indirect_hypernyms 
god,priest,None 
big,heavy,identity 
give,put,synonyms 
newspaper,information,None 
achieve,try,indirect_hyponyms 
driver,pilot,None 
recent,new,similar_tos 
beach,sea,None 
formal,proper,None 
author,creator,indirect_hypernyms 
lose,get,synonyms 
reality,fantasy,None 
go,send,indirect_hyponyms 
door,floor,co_hyponyms 
sun,sky,None 
date,calendar,None 
attention,interest,None 
friend,teacher,None 
rice,boy,None 
communication,television,indirect_hyponyms 
take,obtain,synonyms 
style,fashion,identity 
situation,condition,hypernyms 
winner,goal,None 
bottom,side,hypernyms 
send,receive,co_hyponyms 
day,morning,part_meronyms 
agree,argue,None 
book,theme,co_hyponyms 
task,job,identity 
lose,keep,antonyms 
try,think,indirect_hypernyms 
strength,might,hypernyms 
get,remain,None 
man,husband,None 
camera,president,None 
couple,pair,identity 
car,highway,None 
save,protect,None 
woman,secretary,None 
argue,prove,None 
boat,car,hyponyms 
battle,conquest,None 
motor,boat,None 
sky,universe,part_holonyms 
second,minute,identity 
easy,big,None 
become,seem,None 
destruction,construction,None 
doctor,professor,None 
journey,conquest,None 
apparent,obvious,similar_tos 
bad,great,synonyms 
bell,door,None 
boy,partner,None 
bird,turkey,indirect_hyponyms 
decade,century,part_holonyms 
belief,opinion,identity 
era,decade,co_hyponyms 
adult,baby,indirect_hyponyms 
opinion,idea,synonyms 
intelligence,skill,co_hyponyms 
big,broad,synonyms 
wealth,fame,None 
boy,soldier,None 
island,task,None 
argue,differ,entailments 
night,chapter,None 
presence,door,None 
wealth,poverty,antonyms 
chapter,choice,None 
hole,agreement,None 
agree,differ,antonyms 
opinion,choice,None 
plate,bowl,co_hyponyms 
winner,presence,None 
task,woman,None 
task,highway,None 
effort,difficulty,hyponyms 
