actress,actor,hypernyms 
money,diamond,None 
carry,bring,synonyms 
simple,easy,also_sees 
achieve,try,indirect_hyponyms 
book,essay,None 
student,professor,None 
august,month,indirect_hypernyms 
strength,might,hypernyms 
wood,paper,None 
recent,new,similar_tos 
article,journal,None 
save,protect,None 
door,floor,co_hyponyms 
champion,winner,None 
car,highway,None 
big,heavy,identity 
argue,prove,None 
author,creator,indirect_hypernyms 
argument,agreement,None 
lose,keep,antonyms 
condition,boy,None 
man,husband,None 
long,narrow,None 
friend,teacher,None 
get,remain,None 
god,priest,None 
begin,go,synonyms 
apparent,obvious,similar_tos 
communication,television,indirect_hyponyms 
people,gun,None 
rice,boy,None 
battle,conquest,None 
driver,pilot,None 
boy,soldier,None 
princess,island,None 
room,cell,hyponyms 
book,theme,co_hyponyms 
become,appear,None 
try,think,indirect_hypernyms 
bottom,side,hypernyms 
reality,fantasy,None 
belief,opinion,identity 
tower,bell,None 
motor,boat,None 
newspaper,information,None 
boat,car,hyponyms 
brother,soul,indirect_hypernyms 
day,morning,part_meronyms 
animal,person,co_hyponyms 
take,obtain,synonyms 
situation,condition,hypernyms 
bell,door,None 
bird,turkey,indirect_hyponyms 
proof,fact,None 
doctor,professor,None 
task,job,identity 
sky,universe,part_holonyms 
woman,secretary,None 
leave,appear,indirect_hyponyms 
second,minute,identity 
wealth,fame,None 
intelligence,skill,co_hyponyms 
island,task,None 
boy,partner,None 
adult,baby,indirect_hyponyms 
bad,great,synonyms 
easy,big,None 
plate,bowl,co_hyponyms 
attention,interest,None 
night,chapter,None 
hole,agreement,None 
decade,century,part_holonyms 
couple,pair,identity 
winner,goal,None 
become,seem,None 
big,broad,synonyms 
presence,door,None 
opinion,idea,synonyms 
argue,differ,entailments 
opinion,choice,None 
journey,conquest,None 
agree,differ,antonyms 
chapter,choice,None 
era,decade,co_hyponyms 
destruction,construction,None 
camera,president,None 
winner,presence,None 
wealth,poverty,antonyms 
task,highway,None 
effort,difficulty,hyponyms 
task,woman,None 
