actress,actor,hypernyms 
animal,person,co_hyponyms 
communication,television,indirect_hyponyms 
style,fashion,identity 
dollar,people,None 
recent,new,similar_tos 
strength,might,hypernyms 
situation,condition,hypernyms 
rice,boy,None 
baby,daughter,hypernyms 
become,appear,None 
lose,keep,antonyms 
idea,scheme,indirect_hyponyms 
song,story,None 
article,journal,None 
join,add,synonyms 
driver,pilot,None 
achieve,try,indirect_hyponyms 
save,protect,None 
molecule,air,None 
brother,soul,indirect_hypernyms 
belief,opinion,identity 
car,highway,None 
book,theme,co_hyponyms 
bottom,side,hypernyms 
chief,mayor,None 
foot,head,indirect_part_meronyms 
argue,prove,None 
hole,wife,None 
boy,partner,None 
begin,go,synonyms 
day,morning,part_meronyms 
sky,universe,part_holonyms 
boat,car,hyponyms 
argument,agreement,None 
winner,candidate,co_hyponyms 
long,narrow,None 
condition,boy,None 
big,heavy,identity 
try,think,indirect_hypernyms 
opinion,idea,synonyms 
bird,turkey,indirect_hyponyms 
newspaper,information,None 
adult,baby,indirect_hyponyms 
leave,appear,indirect_hyponyms 
doctor,professor,None 
couple,pair,identity 
god,priest,None 
proof,fact,None 
room,cell,hyponyms 
author,creator,indirect_hypernyms 
motor,boat,None 
plate,bowl,co_hyponyms 
task,job,identity 
money,diamond,None 
woman,secretary,None 
man,husband,None 
second,minute,identity 
big,broad,synonyms 
opinion,choice,None 
become,seem,None 
night,chapter,None 
intelligence,skill,co_hyponyms 
hole,agreement,None 
take,obtain,synonyms 
apparent,obvious,similar_tos 
camera,president,None 
bell,door,None 
bad,great,synonyms 
island,task,None 
destruction,construction,None 
agree,differ,antonyms 
door,floor,co_hyponyms 
boy,soldier,None 
winner,goal,None 
battle,conquest,None 
decade,century,part_holonyms 
attention,interest,None 
era,decade,co_hyponyms 
chapter,choice,None 
easy,big,None 
argue,differ,entailments 
journey,conquest,None 
presence,door,None 
wealth,fame,None 
task,woman,None 
task,highway,None 
wealth,poverty,antonyms 
winner,presence,None 
effort,difficulty,hyponyms 
