actress,actor,hypernyms 
leader,manager,indirect_hyponyms 
glass,crystal,indirect_hyponyms 
sun,sky,None 
child,boy,indirect_hyponyms 
way,manner,identity 
money,capital,None 
hard,simple,None 
large,big,identity 
necessary,important,None 
argue,prove,None 
car,bridge,None 
activity,movement,hyponyms 
beer,alcohol,indirect_hypernyms 
song,story,None 
belief,opinion,identity 
vehicle,bus,indirect_hyponyms 
august,month,indirect_hypernyms 
wide,narrow,antonyms 
right,justice,hypernyms 
essential,necessary,identity 
come,bring,synonyms 
take,leave,synonyms 
simple,easy,also_sees 
fast,rapid,similar_tos 
home,state,indirect_hypernyms 
winner,candidate,co_hyponyms 
club,society,identity 
motor,engine,hyponyms 
keep,protect,hypernyms 
girl,child,hyponyms 
plane,airport,None 
explain,prove,co_hyponyms 
get,remain,None 
boat,car,hyponyms 
day,morning,part_meronyms 
student,professor,None 
game,action,hypernyms 
friend,teacher,None 
hand,foot,indirect_hypernyms 
big,heavy,identity 
snow,weather,indirect_hypernyms 
animal,person,co_hyponyms 
style,fashion,identity 
man,child,hyponyms 
driver,pilot,None 
value,belief,None 
author,creator,indirect_hypernyms 
child,adult,co_hyponyms 
agree,argue,None 
king,princess,co_member_meronyms 
action,course,hyponyms 
couple,pair,identity 
save,protect,None 
medium,news,None 
alcohol,wine,hyponyms 
situation,condition,hypernyms 
article,journal,None 
send,receive,co_hyponyms 
college,class,None 
molecule,air,None 
idea,image,indirect_hyponyms 
become,seem,None 
money,diamond,None 
chief,mayor,None 
take,obtain,synonyms 
idea,scheme,indirect_hyponyms 
condition,boy,None 
book,essay,None 
achieve,try,indirect_hyponyms 
leave,appear,indirect_hyponyms 
tower,bell,None 
boy,soldier,None 
doctor,professor,None 
proof,fact,None 
top,side,hypernyms 
card,bridge,None 
lose,keep,antonyms 
begin,go,synonyms 
code,symbol,None 
school,law,None 
long,narrow,None 
god,priest,None 
reality,fantasy,None 
discussion,argument,hyponyms 
decade,century,part_holonyms 
go,send,indirect_hyponyms 
communication,television,indirect_hyponyms 
bottom,side,hypernyms 
street,car,None 
foot,head,indirect_part_meronyms 
arm,body,part_holonyms 
area,zone,co_hyponyms 
brother,soul,indirect_hypernyms 
room,cell,hyponyms 
beach,sea,None 
second,minute,identity 
house,key,co_hyponyms 
word,newspaper,None 
battle,conquest,None 
princess,island,None 
dollar,people,None 
sky,universe,part_holonyms 
destruction,construction,None 
date,calendar,None 
opinion,idea,synonyms 
people,gun,None 
plate,bowl,co_hyponyms 
attention,interest,None 
hole,wife,None 
wealth,fame,None 
book,theme,co_hyponyms 
motor,boat,None 
easy,big,None 
opinion,choice,None 
newspaper,information,None 
bird,turkey,indirect_hyponyms 
rice,boy,None 
winner,goal,None 
door,floor,co_hyponyms 
task,job,identity 
era,decade,co_hyponyms 
intelligence,skill,co_hyponyms 
bad,great,synonyms 
boy,partner,None 
man,husband,None 
argument,agreement,None 
woman,secretary,None 
big,broad,synonyms 
journey,conquest,None 
presence,door,None 
bell,door,None 
night,chapter,None 
camera,president,None 
hole,agreement,None 
adult,baby,indirect_hyponyms 
car,highway,None 
chapter,choice,None 
island,task,None 
winner,presence,None 
effort,difficulty,hyponyms 
wealth,poverty,antonyms 
argue,differ,entailments 
agree,differ,antonyms 
task,woman,None 
task,highway,None 
