actress,actor,hypernyms 
chemistry,theory,None 
animal,person,co_hyponyms 
book,literature,None 
article,journal,None 
brother,soul,indirect_hypernyms 
intelligence,skill,co_hyponyms 
become,appear,None 
large,big,identity 
money,capital,None 
plate,bowl,co_hyponyms 
second,minute,identity 
book,article,co_hyponyms 
business,industry,hyponyms 
destruction,construction,None 
disc,computer,None 
different,normal,None 
go,allow,hypernyms 
biography,fiction,None 
hard,simple,None 
august,month,indirect_hypernyms 
man,father,co_hyponyms 
communication,language,hyponyms 
bad,great,synonyms 
man,husband,None 
room,cell,hyponyms 
boy,partner,None 
book,theme,co_hyponyms 
old,new,antonyms 
easy,big,None 
wealth,poverty,antonyms 
leave,appear,indirect_hyponyms 
communication,television,indirect_hyponyms 
car,bridge,None 
car,highway,None 
princess,island,None 
mouse,management,None 
reality,fantasy,None 
molecule,air,None 
club,society,identity 
arm,body,part_holonyms 
top,side,hypernyms 
plane,airport,None 
street,car,None 
argument,agreement,None 
rice,boy,None 
big,broad,synonyms 
word,page,None 
card,bridge,None 
money,diamond,None 
condition,boy,None 
code,symbol,None 
big,heavy,identity 
word,literature,None 
recent,new,similar_tos 
right,justice,hypernyms 
night,chapter,None 
bird,turkey,indirect_hyponyms 
action,course,hyponyms 
job,management,None 
bell,door,None 
people,party,None 
woman,secretary,None 
value,belief,None 
word,newspaper,None 
school,law,None 
home,state,indirect_hypernyms 
idea,image,indirect_hyponyms 
hole,wife,None 
task,woman,None 
book,information,indirect_hypernyms 
game,action,hypernyms 
dollar,people,None 
island,task,None 
people,gun,None 
strength,might,hypernyms 
presence,door,None 
newspaper,information,None 
task,highway,None 
medium,news,None 
camera,president,None 
winner,presence,None 
new,ancient,None 
college,class,None 
chapter,choice,None 
hole,agreement,None 
house,key,co_hyponyms 
