W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,SimLex
(apparent|obvious),(father|brother),(river|valley),(river|valley),(father|brother),(father|daughter),(woman|man),(river|valley),(understand|know),(molecule|atom),(molecule|atom),(woman|man),(father|god),(basketball|baseball),(understand|know),(word|dictionary),(understand|know),(woman|man),(river|sea),(boundary|border),(population|people),(population|people),(population|people),(word|dictionary),(population|people),(apparent|obvious)
(son|father),(accept|believe),(logic|arithmetic),(north|west),(boundary|border),(river|valley),(river|valley),(woman|man),(modern|ancient),(prince|king),(understand|know),(population|people),(logic|arithmetic),(boundary|border),(boundary|border),(formula|equation),(river|valley),(boundary|border),(boundary|border),(father|god),(short|long),(atom|carbon),(modern|ancient),(prince|king),(prince|king),(couple|pair)
(boundary|border),(want|choose),(north|west),(prince|king),(prince|king),(prince|king),(create|make),(boundary|border),(boundary|border),(woman|man),(father|god),(dog|cat),(boundary|border),(population|people),(woman|man),(understand|know),(prince|king),(understand|know),(word|dictionary),(word|dictionary),(atom|carbon),(woman|man),(bottom|top),(understand|know),(river|sea),(area|zone)
(easy|difficult),(know|believe),(large|huge),(create|build),(phrase|word),(know|believe),(prince|king),(formula|equation),(molecule|atom),(boundary|border),(atom|carbon),(father|god),(population|people),(understand|know),(basketball|baseball),(science|psychology),(population|people),(father|god),(father|god),(woman|man),(people|party),(science|psychology),(boundary|border),(population|people),(bottom|top),(sea|ocean)
(logic|arithmetic),(bring|send),(area|region),(easy|difficult),(create|make),(logic|arithmetic),(boundary|border),(create|make),(sea|ocean),(population|people),(prince|king),(molecule|atom),(river|sea),(woman|man),(atom|carbon),(population|people),(woman|man),(population|people),(population|people),(prince|king),(understand|know),(father|god),(river|sea),(river|sea),(father|god),(join|add)
(understand|know),(narrow|broad),(know|believe),(accept|believe),(know|believe),(create|make),(accept|believe),(population|people),(know|believe),(father|god),(give|allow),(boundary|border),(dog|cat),(dog|cat),(logic|arithmetic),(woman|man),(river|sea),(atom|carbon),(molecule|atom),(sea|ocean),(woman|man),(word|dictionary),(short|long),(dog|cat),(understand|know),(formal|proper)
(keep|protect),(large|huge),(formula|equation),(phrase|word),(easy|difficult),(easy|difficult),(population|people),(word|dictionary),(population|people),(logic|arithmetic),(formula|equation),(navy|army),(woman|man),(logic|arithmetic),(word|page),(river|sea),(dog|cat),(river|sea),(understand|know),(river|sea),(boundary|border),(prince|king),(formula|equation),(short|long),(woman|man),(author|creator)
(formula|equation),(give|allow),(accept|believe),(boundary|border),(formula|equation),(create|build),(modern|ancient),(dog|cat),(moon|planet),(create|make),(logic|arithmetic),(word|dictionary),(understand|know),(river|sea),(book|bible),(word|page),(bottom|top),(word|dictionary),(logic|arithmetic),(atom|carbon),(bottom|top),(bottom|top),(understand|know),(atom|carbon),(sea|ocean),(formula|equation)
(father|daughter),(dog|horse),(phrase|word),(atom|carbon),(father|god),(navy|army),(know|believe),(create|build),(father|god),(word|dictionary),(boundary|border),(short|long),(science|psychology),(modern|ancient),(father|god),(old|new),(word|dictionary),(water|ice),(modern|ancient),(bottom|top),(narrow|broad),(corporation|business),(people|party),(beach|island),(new|ancient),(belief|opinion)
(send|receive),(apparent|obvious),(prince|king),(want|choose),(logic|arithmetic),(accept|believe),(give|allow),(father|god),(create|make),(easy|difficult),(river|sea),(logic|arithmetic),(modern|ancient),(father|god),(dog|cat),(atom|carbon),(atom|carbon),(modern|ancient),(people|party),(easy|difficult),(river|sea),(river|sea),(atom|carbon),(father|god),(water|ice),(population|people)
(want|choose),(wife|husband),(easy|difficult),(large|huge),(accept|believe),(modern|ancient),(corporation|business),(dog|horse),(dog|cat),(atom|carbon),(dog|cat),(people|party),(atom|carbon),(short|long),(science|psychology),(river|valley),(word|page),(dog|cat),(know|believe),(water|ice),(dog|cat),(modern|ancient),(school|law),(old|new),(school|law),(leave|go)
(water|salt),(river|valley),(boundary|border),(god|spirit),(modern|ancient),(population|people),(father|god),(navy|army),(river|sea),(god|spirit),(water|ice),(create|make),(navy|army),(people|party),(word|dictionary),(know|believe),(short|long),(logic|arithmetic),(dog|cat),(book|bible),(word|dictionary),(people|party),(word|dictionary),(easy|difficult),(people|party),(way|manner)
(river|valley),(easy|difficult),(want|choose),(know|believe),(create|build),(woman|man),(easy|difficult),(water|ice),(new|ancient),(bottom|top),(chemistry|theory),(corporation|business),(old|new),(science|psychology),(easy|difficult),(logic|arithmetic),(sea|ocean),(people|party),(new|ancient),(science|psychology),(sea|ocean),(short|long),(woman|man),(water|ice),(atom|carbon),(book|literature)
(phrase|word),(formula|equation),(atom|carbon),(father|god),(administration|management),(formula|equation),(large|huge),(modern|ancient),(old|new),(formula|equation),(sea|ocean),(business|company),(corporation|business),(god|spirit),(modern|ancient),(god|spirit),(modern|ancient),(create|make),(bottom|top),(logic|arithmetic),(water|ice),(formula|equation),(logic|arithmetic),(know|believe),(word|dictionary),(beer|alcohol)
(atom|carbon),(create|make),(give|allow),(logic|arithmetic),(large|huge),(river|sea),(navy|army),(corporation|business),(navy|army),(new|ancient),(know|believe),(boy|son),(sea|ocean),(sea|ocean),(river|sea),(people|party),(create|make),(short|long),(navy|army),(mouse|cat),(prince|king),(mouse|cat),(sea|ocean),(sea|ocean),(navy|army),(understand|know)
(leave|enter),(keep|give),(receive|give),(woman|man),(navy|army),(beach|island),(atom|carbon),(sea|ocean),(logic|arithmetic),(know|believe),(new|ancient),(narrow|broad),(dictionary|definition),(old|new),(navy|army),(prince|king),(corporation|business),(science|psychology),(short|long),(understand|know),(easy|difficult),(word|page),(corporation|business),(people|party),(god|spirit),(communication|language)
(dog|horse),(area|region),(keep|give),(dog|horse),(god|spirit),(large|huge),(phrase|word),(word|page),(administration|management),(modern|ancient),(people|party),(formula|equation),(create|make),(know|believe),(sea|ocean),(modern|ancient),(logic|arithmetic),(old|new),(sea|ocean),(people|party),(know|believe),(understand|know),(book|bible),(word|page),(short|long),(alcohol|wine)
(create|make),(add|build),(explain|prove),(formula|equation),(want|choose),(father|god),(logic|arithmetic),(know|believe),(phrase|word),(navy|army),(book|bible),(administration|management),(business|company),(corporation|business),(people|party),(book|bible),(water|ice),(sea|ocean),(old|new),(know|believe),(new|ancient),(book|bible),(god|spirit),(logic|arithmetic),(word|page),(begin|go)
(receive|give),(explain|prove),(water|salt),(modern|ancient),(population|people),(hard|difficult),(create|build),(accept|believe),(formula|equation),(dog|horse),(word|page),(water|ice),(give|allow),(create|make),(business|company),(navy|army),(god|spirit),(navy|army),(formula|equation),(modern|ancient),(give|allow),(sea|ocean),(prince|king),(chemistry|theory),(beach|island),(politician|president)
(father|brother),(carry|bring),(administration|management),(navy|army),(hard|difficult),(atom|carbon),(dog|horse),(new|ancient),(word|dictionary),(corporation|business),(modern|ancient),(sea|ocean),(new|ancient),(book|bible),(create|make),(bottom|top),(home|state),(god|spirit),(business|company),(short|long),(navy|army),(dog|cat),(chemistry|theory),(new|ancient),(narrow|broad),(necessary|important)
(carry|bring),(north|west),(give|know),(give|allow),(give|allow),(administration|management),(god|spirit),(river|sea),(easy|difficult),(sea|ocean),(word|dictionary),(beach|island),(moon|planet),(water|ice),(narrow|broad),(new|ancient),(old|new),(corporation|business),(atom|carbon),(formula|equation),(formula|equation),(navy|army),(know|believe),(science|psychology),(mouse|cat),(proof|fact)
(save|protect),(prince|king),(wife|husband),(narrow|broad),(science|psychology),(narrow|broad),(new|ancient),(god|spirit),(atom|carbon),(book|literature),(navy|army),(modern|ancient),(know|believe),(administration|management),(water|ice),(boundary|border),(science|psychology),(word|page),(water|ice),(dog|cat),(administration|management),(easy|difficult),(create|make),(school|law),(dog|cat),(god|spirit)
(navy|army),(save|protect),(dog|horse),(give|know),(atom|carbon),(book|article),(administration|management),(administration|management),(people|party),(phrase|word),(corporation|business),(dog|horse),(different|normal),(moon|planet),(old|new),(create|make),(know|believe),(dog|horse),(different|normal),(new|ancient),(word|page),(administration|management),(navy|army),(modern|ancient),(logic|arithmetic),(leader|manager)
(keep|give),(boundary|border),(woman|man),(wife|husband),(word|dictionary),(old|new),(science|psychology),(easy|difficult),(science|psychology),(book|article),(god|spirit),(know|believe),(word|dictionary),(give|allow),(dog|horse),(easy|difficult),(formula|equation),(book|article),(create|make),(navy|army),(modern|ancient),(water|ice),(belief|concept),(create|make),(old|new),(administration|management)
(woman|man),(atom|carbon),(science|psychology),(sea|ocean),(woman|man),(word|page),(old|new),(science|psychology),(god|spirit),(old|new),(create|make),(business|industry),(book|story),(word|dictionary),(new|ancient),(book|article),(business|company),(bottom|top),(corporation|business),(moon|planet),(old|new),(know|believe),(word|page),(bottom|top),(chemistry|theory),(attention|interest)
(agree|argue),(navy|army),(keep|protect),(word|dictionary),(wife|husband),(moon|planet),(narrow|broad),(book|bible),(corporation|business),(water|ice),(book|text),(absence|presence),(people|party),(dictionary|definition),(give|allow),(create|build),(easy|difficult),(new|ancient),(book|article),(create|make),(create|make),(chemistry|theory),(old|new),(woman|man),(know|believe),(battle|conquest)
(friend|teacher),(couple|pair),(hard|difficult),(population|people),(friend|mother),(phrase|word),(formula|equation),(atom|carbon),(business|company),(narrow|broad),(science|psychology),(book|article),(business|industry),(formula|equation),(dictionary|definition),(water|ice),(people|party),(book|bible),(god|spirit),(god|spirit),(school|law),(different|normal),(home|state),(dictionary|definition),(book|bible),(activity|movement)
(president|mayor),(keep|protect),(navy|army),(moon|planet),(river|sea),(give|allow),(moon|planet),(old|new),(word|page),(administration|management),(create|build),(easy|difficult),(short|long),(dog|horse),(bottom|top),(corporation|business),(accept|believe),(mouse|cat),(narrow|broad),(absence|presence),(logic|arithmetic),(new|ancient),(dictionary|definition),(book|information),(science|psychology),(actress|actor)
(absence|presence),(leave|enter),(apparent|obvious),(administration|management),(old|new),(god|spirit),(word|dictionary),(bottom|top),(dog|horse),(home|state),(moon|planet),(phrase|word),(chemistry|theory),(new|ancient),(short|long),(sea|ocean),(beach|island),(moon|planet),(book|bible),(corporation|business),(dog|horse),(book|article),(business|company),(formula|equation),(business|company),(take|obtain)
(essential|necessary),(receive|give),(bring|send),(explain|prove),(sea|ocean),(word|dictionary),(book|literature),(people|party),(book|bible),(chemistry|theory),(book|literature),(river|sea),(book|article),(navy|army),(corporation|business),(short|long),(chemistry|theory),(school|law),(science|psychology),(word|page),(book|bible),(go|come),(book|information),(book|article),(dictionary|definition),(value|belief)
(area|region),(door|gate),(narrow|broad),(keep|give),(dog|horse),(want|choose),(want|choose),(give|allow),(bottom|top),(short|long),(phrase|word),(atom|carbon),(word|page),(business|company),(chemistry|theory),(different|normal),(new|ancient),(formula|equation),(disc|computer),(dictionary|definition),(god|spirit),(home|state),(dog|cat),(home|state),(dog|horse),(strength|might)
(tax|income),(go|send),(add|build),(book|story),(keep|give),(receive|give),(beach|island),(home|state),(word|literature),(word|literature),(old|new),(word|page),(formula|equation),(book|text),(phrase|word),(tax|income),(dog|horse),(dictionary|definition),(book|information),(school|law),(science|psychology),(water|salt),(administration|management),(corporation|business),(easy|difficult),(right|justice)
(driver|pilot),(send|receive),(father|god),(beach|island),(moon|planet),(wife|husband),(water|ice),(moon|planet),(accept|believe),(people|party),(book|article),(bottom|top),(water|ice),(word|page),(book|article),(medium|news),(man|father),(administration|management),(easy|difficult),(book|information),(create|build),(medium|news),(science|psychology),(narrow|broad),(create|make),(recent|new)
(moon|planet),(woman|man),(winner|candidate),(bring|send),(give|know),(dog|horse),(hard|difficult),(logic|arithmetic),(boy|son),(wife|husband),(accept|believe),(book|story),(book|information),(bottom|top),(know|believe),(keep|give),(navy|army),(business|company),(beach|island),(home|state),(book|article),(old|new),(easy|difficult),(administration|management),(keep|give),(business|industry)
(north|west),(go|enter),(moon|planet),(hard|difficult),(narrow|broad),(chemistry|theory),(word|literature),(narrow|broad),(wife|husband),(create|build),(easy|difficult),(book|information),(phrase|word),(book|article),(accept|believe),(give|allow),(different|normal),(know|believe),(give|allow),(book|article),(child|boy),(give|allow),(boy|son),(navy|army),(administration|management),(accept|believe)
(lose|keep),(champion|winner),(bottom|top),(add|build),(bottom|top),(book|story),(business|company),(book|article),(book|story),(give|allow),(dictionary|definition),(new|ancient),(book|text),(chemistry|theory),(administration|management),(book|information),(book|article),(chemistry|theory),(boy|son),(business|company),(home|state),(god|spirit),(water|ice),(moon|planet),(formula|equation),(idea|scheme)
(hard|difficult),(beach|island),(mouse|cat),(difficult|simple),(belief|concept),(book|bible),(book|article),(medium|news),(create|build),(book|bible),(beach|island),(give|allow),(bottom|top),(beach|island),(create|build),(beach|island),(dictionary|definition),(easy|difficult),(administration|management),(boy|son),(business|company),(word|literature),(college|class),(snow|weather),(glass|crystal),(boy|son)
(go|send),(give|know),(go|enter),(river|sea),(go|come),(new|ancient),(sea|ocean),(word|literature),(chemistry|theory),(science|psychology),(short|long),(god|spirit),(home|state),(man|child),(keep|give),(home|state),(boy|son),(book|story),(dog|horse),(different|normal),(corporation|business),(school|law),(different|normal),(dog|horse),(book|information),(big|broad)
(accept|believe),(lose|keep),(door|gate),(baby|daughter),(short|long),(sea|ocean),(boy|son),(water|salt),(short|long),(river|sea),(different|normal),(science|psychology),(beach|island),(friend|mother),(different|normal),(administration|management),(create|build),(medium|news),(create|build),(old|new),(chemistry|theory),(keep|give),(wife|husband),(man|child),(give|allow),(money|capital)
(beach|island),(water|salt),(lose|get),(keep|protect),(water|ice),(book|literature),(river|sea),(chemistry|theory),(book|article),(medium|news),(bottom|top),(create|build),(god|spirit),(create|build),(water|salt),(book|text),(book|bible),(wife|husband),(word|page),(book|story),(large|huge),(logic|arithmetic),(new|ancient),(tax|income),(book|text),(boy|brother)
(prince|king),(achieve|try),(join|add),(friend|mother),(new|ancient),(book|text),(book|text),(disc|computer),(man|father),(go|come),(book|information),(accept|believe),(easy|difficult),(accept|believe),(formula|equation),(narrow|broad),(give|allow),(mouse|management),(medium|news),(winner|candidate),(man|child),(dictionary|definition),(book|text),(college|class),(accept|believe),(save|protect)
(boat|car),(friend|mother),(god|spirit),(go|come),(chemistry|theory),(give|know),(short|long),(short|long),(beach|island),(book|story),(word|literature),(old|new),(dog|horse),(home|state),(book|text),(wife|husband),(book|information),(man|father),(dictionary|definition),(dog|horse),(boy|son),(man|father),(keep|give),(book|text),(corporation|business),(bird|turkey)
(hard|easy),(join|add),(essential|necessary),(short|long),(book|bible),(corporation|business),(wife|husband),(large|huge),(large|huge),(business|industry),(narrow|broad),(book|bible),(create|build),(book|information),(man|father),(school|law),(administration|management),(book|information),(school|law),(chemistry|theory),(keep|give),(dog|horse),(man|father),(book|bible),(home|state),(situation|condition)
(give|allow),(lose|get),(achieve|try),(hard|simple),(book|article),(essential|necessary),(book|bible),(different|normal),(keep|give),(different|normal),(business|company),(man|father),(word|literature),(different|normal),(hard|difficult),(go|come),(door|gate),(accept|believe),(book|literature),(business|industry),(college|class),(boy|son),(book|article),(boy|son),(moon|planet),(composer|writer)
(author|creator),(essential|necessary),(give|put),(make|become),(receive|give),(word|literature),(chemistry|theory),(absence|presence),(home|state),(word|page),(home|state),(disc|computer),(man|father),(wife|husband),(friend|mother),(moon|planet),(business|industry),(home|state),(book|text),(word|literature),(area|zone),(college|class),(dog|horse),(game|action),(machine|engine),(intelligence|logic)
(bottom|top),(get|put),(modern|ancient),(science|psychology),(leave|enter),(short|long),(people|party),(keep|give),(book|information),(man|father),(wife|husband),(book|literature),(narrow|broad),(business|industry),(beach|island),(business|industry),(book|text),(go|enter),(home|state),(keep|give),(book|information),(book|literature),(game|action),(medium|news),(disc|computer),(water|ice)
(belief|opinion),(moon|planet),(sea|ocean),(book|bible),(winter|season),(woman|wife),(go|come),(phrase|word),(book|text),(book|information),(business|industry),(moon|planet),(intelligence|logic),(baby|daughter),(give|know),(dog|horse),(school|law),(different|normal),(chemistry|theory),(narrow|broad),(accept|believe),(business|company),(winner|candidate),(want|choose),(tax|income),(vehicle|bus)
(sun|sky),(agree|argue),(beach|island),(boy|brother),(add|build),(different|normal),(word|page),(large|big),(give|allow),(boy|son),(dog|horse),(different|normal),(administration|management),(belief|concept),(book|information),(winner|candidate),(narrow|broad),(sun|sky),(snow|weather),(beach|island),(go|come),(create|make),(beach|island),(accept|believe),(intelligence|logic),(molecule|atom)
(door|gate),(hard|difficult),(champion|winner),(apparent|obvious),(make|become),(science|psychology),(politician|president),(beach|island),(book|literature),(large|huge),(tax|income),(boy|brother),(large|huge),(medium|news),(word|literature),(plane|airport),(intelligence|logic),(book|literature),(boy|brother),(go|come),(vehicle|bus),(boy|brother),(boy|brother),(wife|husband),(large|huge),(navy|army)
(argue|prove),(come|bring),(lose|keep),(simple|easy),(book|story),(business|company),(child|boy),(business|company),(business|industry),(moon|planet),(medium|news),(home|state),(wife|husband),(politician|president),(moon|planet),(large|huge),(moon|planet),(create|build),(water|salt),(intelligence|logic),(tax|income),(book|information),(go|come),(create|build),(belief|concept),(book|text)
(add|build),(driver|pilot),(try|think),(achieve|try),(hard|easy),(bottom|top),(bottom|top),(belief|concept),(dictionary|definition),(man|child),(glass|crystal),(word|literature),(right|justice),(snow|weather),(glass|crystal),(belief|concept),(snow|weather),(child|boy),(accept|believe),(book|text),(motor|engine),(way|manner),(sun|sky),(glass|crystal),(beach|sea),(driver|pilot)
(friend|mother),(woman|wife),(save|protect),(mouse|cat),(book|text),(keep|give),(keep|give),(want|choose),(water|ice),(book|text),(disc|computer),(friend|mother),(book|bible),(biography|fiction),(winter|season),(book|literature),(child|boy),(girl|child),(child|boy),(glass|crystal),(champion|winner),(phrase|word),(absence|presence),(word|literature),(child|boy),(glass|crystal)
(wide|narrow),(take|carry),(leave|enter),(old|new),(get|put),(people|party),(water|salt),(make|become),(make|become),(plane|airport),(intelligence|logic),(child|boy),(tax|income),(glass|crystal),(home|state),(accept|believe),(man|child),(hard|difficult),(book|story),(accept|believe),(phrase|word),(glass|crystal),(glass|crystal),(alcohol|wine),(water|salt),(winter|season)
(go|enter),(president|mayor),(population|people),(politician|president),(politician|president),(politician|president),(boy|brother),(book|text),(door|gate),(baby|daughter),(money|capital),(game|action),(accept|believe),(word|literature),(business|industry),(man|father),(right|justice),(get|put),(plane|airport),(give|allow),(night|day),(man|child),(give|allow),(god|spirit),(wife|husband),(dictionary|definition)
(short|long),(baby|daughter),(president|mayor),(woman|wife),(people|party),(formal|proper),(friend|mother),(man|father),(woman|wife),(business|company),(book|story),(book|text),(boy|son),(king|princess),(large|huge),(child|boy),(phrase|word),(intelligence|logic),(moon|planet),(book|literature),(word|literature),(tax|income),(snow|weather),(right|justice),(want|choose),(big|heavy)
(boy|soldier),(mouse|cat),(difficult|simple),(water|salt),(beach|island),(difficult|simple),(book|information),(night|day),(disc|computer),(boy|brother),(administration|management),(go|come),(mouse|management),(motor|engine),(child|boy),(machine|engine),(vehicle|bus),(belief|concept),(tax|income),(water|salt),(moon|planet),(beer|alcohol),(intelligence|logic),(phrase|word),(modern|ancient),(article|journal)
(give|put),(bottom|top),(baby|daughter),(receive|give),(argument|criticism),(go|come),(belief|concept),(go|come),(water|salt),(child|boy),(man|father),(dictionary|definition),(man|child),(book|story),(plane|airport),(word|literature),(go|come),(glass|crystal),(communication|language),(create|build),(glass|crystal),(book|story),(man|child),(disc|computer),(create|build),(code|symbol)
(take|receive),(argue|prove),(word|literature),(winter|season),(formal|proper),(book|information),(different|normal),(book|literature),(child|boy),(hard|difficult),(belief|concept),(chemistry|theory),(belief|concept),(book|literature),(mouse|cat),(boy|brother),(idea|image),(business|industry),(man|child),(want|choose),(different|normal),(narrow|broad),(book|literature),(business|industry),(medium|news),(prince|king)
(winner|candidate),(science|psychology),(friend|mother),(take|carry),(corporation|business),(job|management),(difficult|simple),(wife|husband),(winter|season),(dictionary|definition),(king|princess),(intelligence|logic),(book|literature),(narrow|broad),(man|child),(dictionary|definition),(book|story),(door|gate),(belief|concept),(game|action),(intelligence|logic),(business|industry),(accept|believe),(beach|sea),(politician|president),(moon|planet)
(alcohol|wine),(snow|weather),(carry|bring),(hard|easy),(boy|son),(friend|mother),(night|day),(book|information),(belief|concept),(night|day),(man|child),(large|huge),(go|come),(phrase|word),(school|law),(business|company),(water|salt),(give|allow),(intelligence|logic),(night|day),(beach|island),(machine|engine),(child|boy),(business|company),(book|literature),(carry|bring)
(glass|crystal),(decade|century),(word|dictionary),(argument|criticism),(president|mayor),(disc|computer),(dictionary|definition),(friend|mother),(politician|president),(politician|president),(idea|image),(machine|engine),(college|class),(area|zone),(communication|language),(book|story),(medium|news),(politician|president),(absence|presence),(book|essay),(absence|presence),(moon|planet),(club|society),(book|story),(argument|criticism),(child|boy)
(god|spirit),(absence|presence),(politician|president),(absence|presence),(dictionary|definition),(hard|easy),(keep|protect),(formal|proper),(man|child),(keep|give),(give|know),(hard|difficult),(politician|president),(boy|son),(boy|son),(intelligence|logic),(essential|necessary),(boy|brother),(college|class),(medium|news),(book|story),(child|boy),(moon|planet),(give|allow),(boy|son),(river|sea)
(hand|foot),(friend|teacher),(boy|brother),(new|ancient),(mouse|cat),(get|put),(man|child),(get|put),(go|come),(apparent|obvious),(large|huge),(man|child),(area|zone),(go|come),(book|literature),(boy|son),(bring|send),(right|justice),(want|choose),(phrase|word),(man|father),(wife|husband),(night|day),(large|big),(book|article),(woman|wife)
(science|psychology),(author|creator),(simple|easy),(word|literature),(book|literature),(money|capital),(president|mayor),(book|story),(hard|difficult),(mouse|cat),(keep|give),(motor|engine),(want|choose),(school|law),(book|story),(chemistry|theory),(disc|computer),(communication|language),(business|industry),(plane|airport),(door|gate),(disc|computer),(create|build),(night|day),(door|gate),(opinion|idea)
(attention|interest),(try|think),(go|come),(belief|concept),(word|page),(boy|brother),(home|state),(essential|necessary),(communication|language),(want|choose),(politician|president),(night|day),(glass|crystal),(tax|income),(god|spirit),(president|mayor),(motor|engine),(night|day),(mouse|management),(large|huge),(machine|engine),(mouse|management),(disc|computer),(house|key),(phrase|word),(president|mayor)
