actress,actor,hypernyms 
king,princess,co_member_meronyms 
leave,go,synonyms 
author,creator,indirect_hypernyms 
argument,agreement,None 
job,management,None 
condition,boy,None 
action,course,hyponyms 
situation,condition,hypernyms 
begin,go,synonyms 
baby,daughter,hypernyms 
strength,might,hypernyms 
carry,bring,synonyms 
motor,boat,None 
formal,proper,None 
word,newspaper,None 
wood,paper,None 
friend,teacher,None 
achieve,try,indirect_hyponyms 
bottom,side,hypernyms 
leave,appear,indirect_hyponyms 
day,morning,part_meronyms 
animal,person,co_hyponyms 
boy,soldier,None 
get,remain,None 
princess,island,None 
plate,bowl,co_hyponyms 
take,obtain,synonyms 
adult,baby,indirect_hyponyms 
recent,new,similar_tos 
street,car,None 
rice,boy,None 
newspaper,information,None 
apparent,obvious,similar_tos 
winner,goal,None 
car,highway,None 
boat,car,hyponyms 
driver,pilot,None 
style,fashion,identity 
argue,prove,None 
foot,head,indirect_part_meronyms 
battle,conquest,None 
proof,fact,None 
sky,universe,part_holonyms 
book,theme,co_hyponyms 
lose,keep,antonyms 
communication,television,indirect_hyponyms 
room,cell,hyponyms 
second,minute,identity 
reality,fantasy,None 
man,husband,None 
big,heavy,identity 
idea,scheme,indirect_hyponyms 
door,floor,co_hyponyms 
hole,agreement,None 
couple,pair,identity 
boy,partner,None 
night,chapter,None 
opinion,choice,None 
try,think,indirect_hypernyms 
bell,door,None 
brother,soul,indirect_hypernyms 
doctor,professor,None 
camera,president,None 
task,job,identity 
woman,secretary,None 
chapter,choice,None 
wealth,fame,None 
presence,door,None 
big,broad,synonyms 
agree,differ,antonyms 
easy,big,None 
attention,interest,None 
destruction,construction,None 
intelligence,skill,co_hyponyms 
opinion,idea,synonyms 
become,seem,None 
bird,turkey,indirect_hyponyms 
journey,conquest,None 
bad,great,synonyms 
argue,differ,entailments 
island,task,None 
era,decade,co_hyponyms 
decade,century,part_holonyms 
winner,presence,None 
wealth,poverty,antonyms 
task,highway,None 
task,woman,None 
effort,difficulty,hyponyms 
