actress,actor,hypernyms 
leader,manager,indirect_hyponyms 
carry,bring,synonyms 
come,bring,synonyms 
day,morning,part_meronyms 
value,belief,None 
word,newspaper,None 
code,symbol,None 
discussion,argument,hyponyms 
get,remain,None 
arm,body,part_holonyms 
argument,agreement,None 
begin,go,synonyms 
battle,conquest,None 
send,receive,co_hyponyms 
dollar,people,None 
explain,prove,co_hyponyms 
door,floor,co_hyponyms 
people,gun,None 
book,theme,co_hyponyms 
strength,might,hypernyms 
rice,boy,None 
give,put,synonyms 
boy,soldier,None 
try,think,indirect_hypernyms 
brother,soul,indirect_hypernyms 
lose,keep,antonyms 
go,send,indirect_hyponyms 
beach,sea,None 
doctor,professor,None 
leave,appear,indirect_hyponyms 
driver,pilot,None 
idea,scheme,indirect_hyponyms 
hole,wife,None 
couple,pair,identity 
action,course,hyponyms 
bottom,side,hypernyms 
tower,bell,None 
style,fashion,identity 
book,essay,None 
author,creator,indirect_hypernyms 
room,cell,hyponyms 
belief,opinion,identity 
long,narrow,None 
god,priest,None 
princess,island,None 
argue,prove,None 
child,adult,co_hyponyms 
achieve,try,indirect_hyponyms 
second,minute,identity 
boy,partner,None 
destruction,construction,None 
attention,interest,None 
newspaper,information,None 
bird,turkey,indirect_hyponyms 
task,job,identity 
decade,century,part_holonyms 
man,husband,None 
wealth,fame,None 
boat,car,hyponyms 
bell,door,None 
become,seem,None 
bad,great,synonyms 
plate,bowl,co_hyponyms 
night,chapter,None 
take,obtain,synonyms 
island,task,None 
car,highway,None 
easy,big,None 
opinion,idea,synonyms 
intelligence,skill,co_hyponyms 
woman,secretary,None 
big,broad,synonyms 
era,decade,co_hyponyms 
hole,agreement,None 
adult,baby,indirect_hyponyms 
chapter,choice,None 
camera,president,None 
journey,conquest,None 
winner,goal,None 
opinion,choice,None 
motor,boat,None 
presence,door,None 
argue,differ,entailments 
agree,differ,antonyms 
wealth,poverty,antonyms 
winner,presence,None 
task,woman,None 
effort,difficulty,hyponyms 
task,highway,None 
