actress,actor,hypernyms 
communication,television,indirect_hyponyms 
word,newspaper,None 
chief,mayor,None 
recent,new,similar_tos 
boat,car,hyponyms 
princess,island,None 
article,journal,None 
situation,condition,hypernyms 
agree,argue,None 
big,heavy,identity 
become,appear,None 
god,priest,None 
action,course,hyponyms 
people,gun,None 
tower,bell,None 
argument,agreement,None 
long,narrow,None 
send,receive,co_hyponyms 
baby,daughter,hypernyms 
achieve,try,indirect_hyponyms 
go,send,indirect_hyponyms 
car,highway,None 
proof,fact,None 
author,creator,indirect_hypernyms 
money,diamond,None 
destruction,construction,None 
strength,might,hypernyms 
leave,appear,indirect_hyponyms 
get,remain,None 
wood,paper,None 
begin,go,synonyms 
give,put,synonyms 
idea,scheme,indirect_hyponyms 
second,minute,identity 
hole,wife,None 
try,think,indirect_hypernyms 
intelligence,skill,co_hyponyms 
save,protect,None 
style,fashion,identity 
bad,great,synonyms 
take,obtain,synonyms 
newspaper,information,None 
doctor,professor,None 
bottom,side,hypernyms 
winner,goal,None 
motor,boat,None 
lose,keep,antonyms 
plate,bowl,co_hyponyms 
room,cell,hyponyms 
rice,boy,None 
brother,soul,indirect_hypernyms 
book,theme,co_hyponyms 
woman,secretary,None 
bird,turkey,indirect_hyponyms 
door,floor,co_hyponyms 
boy,partner,None 
sky,universe,part_holonyms 
couple,pair,identity 
become,seem,None 
driver,pilot,None 
apparent,obvious,similar_tos 
man,husband,None 
night,chapter,None 
camera,president,None 
belief,opinion,identity 
attention,interest,None 
task,job,identity 
easy,big,None 
condition,boy,None 
battle,conquest,None 
boy,soldier,None 
chapter,choice,None 
presence,door,None 
bell,door,None 
big,broad,synonyms 
wealth,fame,None 
agree,differ,antonyms 
adult,baby,indirect_hyponyms 
decade,century,part_holonyms 
argue,differ,entailments 
hole,agreement,None 
journey,conquest,None 
era,decade,co_hyponyms 
opinion,choice,None 
opinion,idea,synonyms 
island,task,None 
wealth,poverty,antonyms 
winner,presence,None 
task,highway,None 
effort,difficulty,hyponyms 
task,woman,None 
