actress,actor,hypernyms 
leave,remain,None 
people,gun,None 
wide,narrow,antonyms 
reality,fantasy,None 
hard,easy,antonyms 
become,appear,None 
princess,island,None 
go,send,indirect_hyponyms 
song,story,None 
car,highway,None 
lose,get,synonyms 
foot,head,indirect_part_meronyms 
big,heavy,identity 
student,professor,None 
august,month,indirect_hypernyms 
sky,universe,part_holonyms 
word,newspaper,None 
give,put,synonyms 
proof,fact,None 
argue,prove,None 
brother,soul,indirect_hypernyms 
couple,pair,identity 
situation,condition,hypernyms 
book,theme,co_hyponyms 
begin,go,synonyms 
fast,rapid,similar_tos 
argument,agreement,None 
author,creator,indirect_hypernyms 
room,cell,hyponyms 
article,journal,None 
idea,scheme,indirect_hyponyms 
friend,teacher,None 
job,management,None 
newspaper,information,None 
communication,television,indirect_hyponyms 
attention,interest,None 
belief,opinion,identity 
day,morning,part_meronyms 
join,add,synonyms 
man,husband,None 
motor,boat,None 
long,narrow,None 
island,task,None 
boy,partner,None 
money,diamond,None 
driver,pilot,None 
lose,keep,antonyms 
style,fashion,identity 
plate,bowl,co_hyponyms 
doctor,professor,None 
task,job,identity 
rice,boy,None 
leave,appear,indirect_hyponyms 
chapter,choice,None 
second,minute,identity 
battle,conquest,None 
camera,president,None 
strength,might,hypernyms 
agree,differ,antonyms 
take,obtain,synonyms 
apparent,obvious,similar_tos 
hole,wife,None 
try,think,indirect_hypernyms 
wealth,poverty,antonyms 
wealth,fame,None 
boat,car,hyponyms 
woman,secretary,None 
night,chapter,None 
destruction,construction,None 
argue,differ,entailments 
easy,big,None 
intelligence,skill,co_hyponyms 
become,seem,None 
presence,door,None 
opinion,idea,synonyms 
journey,conquest,None 
bird,turkey,indirect_hyponyms 
big,broad,synonyms 
hole,agreement,None 
opinion,choice,None 
era,decade,co_hyponyms 
boy,soldier,None 
bell,door,None 
adult,baby,indirect_hyponyms 
bad,great,synonyms 
decade,century,part_holonyms 
winner,presence,None 
task,highway,None 
task,woman,None 
effort,difficulty,hyponyms 
