Word1,Word2,CBoW_Model_W1,CBoW_Model_W2,CBoW_Model_W3,CBoW_Model_W4,CBoW_Model_W5,CBoW_Model_W6,CBoW_Model_W7,CBoW_Model_W8,CBoW_Model_W9,CBoW_Model_W10,CBoW_Model_W11,CBoW_Model_W12,CBoW_Model_W13,CBoW_Model_W14,CBoW_Model_W15,CBoW_Model_W16,CBoW_Model_W17,CBoW_Model_W18,CBoW_Model_W19,CBoW_Model_W20,CBoW_Model_W21,CBoW_Model_W22,CBoW_Model_W23,CBoW_Model_W24,CBoW_Model_W25,SGNS_Model_W1,SGNS_Model_W2,SGNS_Model_W3,SGNS_Model_W4,SGNS_Model_W5,SGNS_Model_W6,SGNS_Model_W7,SGNS_Model_W8,SGNS_Model_W9,SGNS_Model_W10,SGNS_Model_W11,SGNS_Model_W12,SGNS_Model_W13,SGNS_Model_W14,SGNS_Model_W15,SGNS_Model_W16,SGNS_Model_W17,SGNS_Model_W18,SGNS_Model_W19,SGNS_Model_W20,SGNS_Model_W21,SGNS_Model_W22,SGNS_Model_W23,SGNS_Model_W24,SGNS_Model_W25,Reference_val 
student,professor,0.3961511,0.74899155,0.76684266,0.76754713,0.76270664,0.7753474,0.71655774,0.71311647,0.685233,0.68138784,0.62625074,0.64369607,0.5913697,0.580003,0.628001,0.577549,0.5703007,0.54917336,0.5541674,0.53586775,0.5436912,0.5588701,0.4933287,0.50253963,0.49429673,0.3599258,0.36587188,0.3492493,0.29730633,0.32325405,0.31986457,0.34633946,0.34109837,0.32679808,0.3639862,0.39351153,0.38192394,0.35339954,0.3848555,0.3838281,0.39892608,0.39757502,0.36544484,0.36279893,0.3752937,0.3895002,0.41581333,0.41252923,0.41496763,0.39671865,6.81
smart,stupid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.81
wood,forest,0.36987823,0.7502589,0.7676564,0.75287473,0.7542347,0.74672025,0.70351225,0.7235732,0.6513247,0.65174973,0.6377563,0.61639535,0.597333,0.63364434,0.546216,0.57471615,0.56710696,0.49009818,0.53704506,0.55805916,0.49356815,0.47759664,0.504165,0.4799613,0.47505566,0.24618797,0.24399343,0.25287384,0.26086807,0.2319916,0.23758253,0.23570323,0.24331601,0.23754391,0.22232533,0.23161444,0.2459495,0.25244507,0.26703447,0.24929321,0.2539755,0.24884138,0.2326478,0.25767905,0.2784416,0.29611486,0.25596544,0.26374173,0.2789411,0.2695439,7.73
money,cash,0.46565172,0.7984282,0.8342646,0.8251957,0.78993165,0.77758884,0.7802107,0.7529082,0.7522125,0.7298082,0.7162366,0.70412195,0.6991943,0.6623137,0.6597651,0.6429869,0.60619944,0.5670775,0.6202271,0.59596914,0.63313854,0.57530415,0.6057893,0.6019896,0.5957438,0.41491294,0.39696884,0.40306938,0.33933115,0.36137247,0.35818222,0.406145,0.3889487,0.31436676,0.41563267,0.35169962,0.3853532,0.40086985,0.38491353,0.40054044,0.4050365,0.418529,0.38788635,0.41768762,0.37887806,0.38127518,0.39571548,0.4228925,0.4154691,0.43310902,9.15
king,queen,0.49311453,0.805717,0.83193165,0.8470067,0.85036576,0.8235197,0.8230313,0.82737195,0.81609476,0.8021151,0.79328704,0.77937734,0.77433616,0.75473964,0.7383286,0.7283753,0.75375694,0.72311294,0.7182603,0.70682853,0.7015636,0.69975734,0.6958674,0.6827073,0.6607039,0.49619108,0.46673438,0.48169,0.4835518,0.50528824,0.52208114,0.5071193,0.5288079,0.51660013,0.5409206,0.53709996,0.5221574,0.540868,0.5419478,0.5625204,0.55736697,0.5733254,0.5548612,0.53003705,0.5653228,0.5710312,0.5476738,0.56325126,0.5696659,0.57253486,8.58
king,rook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.92
bishop,rabbi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.69
fuck,sex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.44
football,soccer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.03
football,basketball,0.7563192,0.9147905,0.909839,0.91134083,0.8867316,0.8900548,0.8549653,0.8711215,0.846578,0.8424116,0.8298386,0.82904065,0.8441533,0.7822658,0.8021002,0.78026736,0.77337366,0.7505201,0.74064386,0.7605777,0.75754774,0.7591994,0.7685659,0.7447285,0.76400185,0.686609,0.6451443,0.62911016,0.5931138,0.59445226,0.598183,0.5792606,0.607401,0.59184176,0.57926893,0.5803333,0.58790475,0.5871223,0.58861667,0.5551713,0.6014974,0.5724955,0.59808797,0.5934539,0.5679903,0.5673899,0.5697024,0.57102895,0.57584095,0.57084906,6.81
football,tennis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.63
Arafat,Jackson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.50
physics,chemistry,0.69892704,0.9035797,0.9059552,0.9121977,0.910025,0.89309615,0.88223195,0.8982818,0.865712,0.8768456,0.86272347,0.82624,0.8490623,0.808815,0.8266574,0.78906333,0.8013541,0.7820343,0.78260666,0.76180804,0.7474516,0.7644834,0.7444769,0.7627368,0.7649994,0.6739128,0.65347093,0.60829836,0.5763774,0.5718211,0.5476184,0.56749123,0.5845758,0.5634692,0.5830399,0.55543256,0.58063555,0.5747644,0.5425871,0.554037,0.56014895,0.5450324,0.5749643,0.53863347,0.5543053,0.5539827,0.552248,0.5426406,0.56456876,0.5520595,7.35
vodka,gin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.46
vodka,brandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.13
drink,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.87
car,automobile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.94
gem,jewel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.96
journey,voyage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.29
boy,lad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.83
coast,shore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.10
asylum,madhouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.87
magician,wizard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.02
midday,noon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.29
furnace,stove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.79
food,fruit,0.48096037,0.79591346,0.825668,0.8180319,0.8263658,0.79802155,0.7720083,0.77533454,0.75280905,0.73657477,0.7095802,0.7279024,0.7002506,0.73510253,0.68804735,0.6516595,0.6746837,0.6236612,0.63258874,0.6205437,0.63852715,0.62411034,0.61905694,0.5975756,0.62734115,0.45277596,0.39094883,0.41244882,0.38234198,0.32925156,0.38651007,0.3949211,0.37558797,0.39841598,0.41267836,0.38406575,0.40515077,0.40996313,0.3978597,0.4158723,0.40455878,0.41513902,0.41926032,0.4342366,0.38754895,0.3743746,0.4140136,0.43127635,0.44936723,0.40234095,7.52
bird,cock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.10
bird,crane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.38
food,rooster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.42
money,dollar,0.31065315,0.72072387,0.7443549,0.7552817,0.7546709,0.76121116,0.7336576,0.7074203,0.7198503,0.6864564,0.6700011,0.64732397,0.6443083,0.6426905,0.6149682,0.61423755,0.577754,0.61026484,0.63758683,0.61240536,0.5981795,0.53169817,0.5669738,0.5686363,0.6218293,0.2917747,0.25633353,0.2253756,0.23343152,0.26023582,0.22739865,0.24206445,0.24168159,0.23240227,0.24663016,0.26136446,0.23975204,0.268274,0.26816046,0.2754826,0.26801544,0.27101755,0.28785023,0.31444663,0.31495202,0.31429225,0.29215527,0.30272838,0.29566067,0.3366905,8.42
money,currency,0.32721063,0.73711646,0.77155364,0.7759906,0.75922203,0.76802486,0.7504504,0.71013,0.6974727,0.7120638,0.6748327,0.67362905,0.65836394,0.591208,0.6313207,0.66510975,0.5708282,0.58374405,0.61867094,0.5737325,0.5311591,0.55452436,0.55382204,0.5382731,0.55652153,0.329154,0.33897394,0.33816475,0.29876444,0.29565537,0.30634603,0.31684253,0.3053118,0.3046447,0.3430404,0.32319695,0.37819427,0.33187193,0.3519433,0.32546788,0.3570369,0.35126245,0.36098894,0.3768004,0.37555236,0.36490768,0.35161728,0.40657687,0.37539852,0.39204758,9.04
tiger,jaguar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.00
tiger,feline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.00
tiger,carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.08
tiger,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.85
tiger,animal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00
tiger,organism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.77
tiger,fauna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.62
psychology,psychiatry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.08
psychology,science,0.451894,0.80415857,0.8401377,0.81695855,0.8304492,0.7936952,0.80508304,0.79172164,0.77869874,0.757579,0.75587165,0.72956884,0.7622768,0.7457049,0.7467724,0.75094414,0.69839513,0.7036052,0.68094826,0.70086515,0.6540175,0.70678,0.64704454,0.6600354,0.63811743,0.48244458,0.43592316,0.43190625,0.39246324,0.4107932,0.4013133,0.37985784,0.3890608,0.4099872,0.4027008,0.36118582,0.40462488,0.40737385,0.40782762,0.41158158,0.4107868,0.42070377,0.4052847,0.43197572,0.42869297,0.45832372,0.43370318,0.44177413,0.4244933,0.4157642,6.71
psychology,discipline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.58
planet,star,0.36975294,0.7495857,0.78527546,0.7768948,0.779793,0.75173885,0.73060477,0.749578,0.72427326,0.69222796,0.70387334,0.67667556,0.6734078,0.66676474,0.6401199,0.6117538,0.5822604,0.6282831,0.63977337,0.63865185,0.5873414,0.549801,0.5619061,0.56054485,0.55996954,0.3869392,0.38164192,0.34894523,0.38168436,0.39324993,0.39077836,0.41464525,0.3769183,0.41094735,0.40040195,0.417751,0.4167934,0.4130429,0.40942004,0.42051518,0.43706864,0.45399892,0.4426966,0.44568953,0.49407738,0.44671804,0.47429293,0.44389635,0.4684363,0.4687636,8.45
planet,moon,0.5161626,0.81278026,0.8324299,0.83439445,0.8183923,0.81366086,0.80051243,0.78300613,0.80088323,0.7436309,0.75037515,0.72430265,0.7434211,0.72884536,0.68429124,0.6755291,0.6618632,0.68411577,0.63568527,0.67799246,0.61764216,0.6062167,0.5976576,0.63013554,0.6174661,0.5171661,0.5063249,0.47609755,0.4340806,0.46218365,0.40110502,0.40754604,0.43812877,0.4176886,0.44192585,0.4212403,0.43424505,0.45625943,0.44721094,0.4401123,0.4217204,0.4703356,0.47830337,0.445728,0.4525598,0.4109831,0.45499897,0.4643656,0.43611258,0.49209738,8.08
planet,sun,0.45517647,0.7727135,0.80485404,0.80747706,0.7903583,0.7643051,0.76071036,0.75117254,0.7625518,0.7233151,0.7170863,0.6917384,0.7194859,0.6774157,0.6475525,0.6779224,0.6420299,0.68502516,0.65309817,0.6420857,0.6530267,0.6171026,0.59134257,0.6316248,0.6045103,0.46812725,0.43174595,0.3897622,0.3740377,0.41235074,0.3881357,0.3906665,0.41088194,0.39435446,0.42985073,0.40414083,0.43635333,0.42666948,0.41166317,0.4434926,0.4263005,0.45679945,0.4519571,0.46121082,0.45457268,0.4474706,0.45197767,0.42952198,0.43185106,0.47225326,8.02
precedent,example,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85
precedent,antecedent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.04
cup,tableware,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.85
cup,artifact,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92
cup,object,-0.017721381,0.68136996,0.7167451,0.75605416,0.73521876,0.701023,0.72072804,0.66067195,0.6618216,0.6296975,0.644753,0.63618624,0.62297404,0.6101769,0.60446537,0.5864481,0.56243515,0.56987625,0.5605,0.609133,0.6037642,0.52590364,0.5537112,0.5387139,0.5455029,0.0025167568,0.017052412,-0.015987683,0.0015472434,-0.041838653,-0.0028390232,-0.020302951,0.018329058,-0.030682325,0.010163151,-0.012624133,0.016980404,0.031808764,0.027171858,0.044617765,0.020339478,0.041989002,0.029553063,0.033999592,0.047816243,0.05433239,0.05772123,0.048200842,0.067643195,0.07094903,3.69
cup,entity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15
jaguar,cat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.42
jaguar,car,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.27
