Word1,Word2,CBoW_Model_W1,CBoW_Model_W2,CBoW_Model_W3,CBoW_Model_W4,CBoW_Model_W5,CBoW_Model_W6,CBoW_Model_W7,CBoW_Model_W8,CBoW_Model_W9,CBoW_Model_W10,CBoW_Model_W11,CBoW_Model_W12,CBoW_Model_W13,CBoW_Model_W14,CBoW_Model_W15,CBoW_Model_W16,CBoW_Model_W17,CBoW_Model_W18,CBoW_Model_W19,CBoW_Model_W20,CBoW_Model_W21,CBoW_Model_W22,CBoW_Model_W23,CBoW_Model_W24,CBoW_Model_W25,SGNS_Model_W1,SGNS_Model_W2,SGNS_Model_W3,SGNS_Model_W4,SGNS_Model_W5,SGNS_Model_W6,SGNS_Model_W7,SGNS_Model_W8,SGNS_Model_W9,SGNS_Model_W10,SGNS_Model_W11,SGNS_Model_W12,SGNS_Model_W13,SGNS_Model_W14,SGNS_Model_W15,SGNS_Model_W16,SGNS_Model_W17,SGNS_Model_W18,SGNS_Model_W19,SGNS_Model_W20,SGNS_Model_W21,SGNS_Model_W22,SGNS_Model_W23,SGNS_Model_W24,SGNS_Model_W25,Reference_val 
beautiful,wonderful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5
confident,sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.27
dumb,dense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.27
large,big,0.2569845,0.7249768,0.78687096,0.7762013,0.77376676,0.7692698,0.7467769,0.77014077,0.7322653,0.7001293,0.69097733,0.69797015,0.66910803,0.674137,0.625607,0.63769627,0.5829853,0.6063314,0.59046054,0.5807643,0.53753805,0.5361814,0.53349143,0.5921461,0.5639622,0.2821139,0.22142658,0.224179,0.22675088,0.23818111,0.25842234,0.23276347,0.23346072,0.24777827,0.23518673,0.2434535,0.27321923,0.26853305,0.2715656,0.27890372,0.2716427,0.2733391,0.30282706,0.2931446,0.2754123,0.2844434,0.32317808,0.2950262,0.30706546,0.30799466,9.55
nice,cruel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67
impatient,anxious,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.03
big,broad,0.18470937,0.6556228,0.6981783,0.6795393,0.6877326,0.687003,0.6348901,0.6396847,0.58556813,0.556854,0.59016883,0.55924326,0.49027148,0.48593482,0.52420926,0.4558493,0.4842093,0.42520148,0.4227219,0.4842662,0.40767214,0.41696298,0.37143594,0.42195618,0.37005937,0.17770314,0.13770187,0.09025694,0.13250071,0.110224076,0.100536846,0.076746546,0.084931314,0.041593082,0.09435133,0.13136883,0.09594913,0.109024525,0.11959173,0.11634947,0.11904415,0.12770918,0.15001445,0.13845825,0.04782795,0.12060399,0.13484842,0.15725008,0.1603479,0.11720491,6.73
strong,proud,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.17
unnecessary,necessary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63
restless,young,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6
dumb,intelligent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
bad,great,0.2240011,0.6656407,0.71080345,0.7077769,0.6990796,0.6736459,0.66349036,0.59762836,0.6107951,0.5758209,0.5502323,0.5633116,0.4927931,0.5161457,0.4925483,0.49170375,0.4651357,0.45054466,0.49509382,0.40613884,0.36182603,0.40561855,0.32496083,0.39247203,0.35478008,0.168973,0.12870759,0.123097174,0.13127062,0.15977368,0.18893602,0.16441298,0.14358428,0.1841414,0.18273216,0.1815862,0.188754,0.18544714,0.16272894,0.23800382,0.2653532,0.22366548,0.20994927,0.18850128,0.22876832,0.23978822,0.222618,0.25072896,0.21973115,0.21547078,0.35
difficult,simple,0.31903625,0.7961945,0.8174226,0.8258314,0.7844963,0.79101604,0.77136356,0.73964524,0.71869916,0.70564437,0.70378315,0.6852318,0.6659752,0.63984,0.6417285,0.6281623,0.5699769,0.56022537,0.54820514,0.54874974,0.55907845,0.4948613,0.54625845,0.55736405,0.52110994,0.29431778,0.27918696,0.22256598,0.23451842,0.22880481,0.21136393,0.21195251,0.22101055,0.22347109,0.18887803,0.24192798,0.2521246,0.20856288,0.24588153,0.21658844,0.23422086,0.2707327,0.2553764,0.2714239,0.27655512,0.2990706,0.29870856,0.26457337,0.27844554,0.27461085,0.87
necessary,important,0.38409078,0.7801416,0.80612946,0.7827381,0.7734126,0.7644752,0.7306832,0.7470517,0.7204452,0.68075067,0.6746675,0.6950046,0.66138583,0.65703976,0.6365247,0.5974735,0.58157617,0.5658603,0.5827657,0.55077547,0.5363784,0.6007217,0.54019654,0.5337701,0.4932011,0.32963204,0.25984088,0.2472919,0.24343808,0.24738389,0.23828603,0.2421206,0.27583125,0.2709653,0.32006544,0.2731548,0.2667742,0.28386575,0.2610621,0.27710286,0.25953737,0.27545357,0.29971278,0.2773685,0.31383502,0.2732854,0.2975552,0.31960514,0.3084242,0.30291605,7.37
bad,terrific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65
mad,glad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45
honest,guilty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18
easy,tough,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52
easy,flexible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1
certain,sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.42
essential,necessary,0.52707374,0.81403196,0.8242621,0.80248934,0.7712607,0.79772943,0.7379651,0.7579483,0.7298806,0.68269205,0.7002052,0.6780808,0.67233634,0.66374886,0.64208376,0.64076835,0.6462355,0.5809105,0.5673449,0.58850193,0.52733105,0.55466574,0.5684316,0.5295735,0.54168236,0.47951415,0.4249977,0.38362515,0.38133287,0.33728263,0.3293317,0.3227933,0.3538074,0.2948938,0.3675605,0.3186003,0.33346134,0.29947138,0.30317286,0.2951651,0.33155128,0.32697782,0.33131114,0.32604825,0.3510666,0.330363,0.34364992,0.3597178,0.35300797,0.3538177,8.97
different,normal,0.24086337,0.7496814,0.80446684,0.8097596,0.7962955,0.7948501,0.77202874,0.7739035,0.735996,0.748585,0.7429677,0.722507,0.7418808,0.6995274,0.6991299,0.6956763,0.683532,0.65609515,0.6892886,0.6587697,0.6156933,0.6493321,0.6353126,0.5643668,0.5762897,0.22517675,0.19166176,0.13685706,0.13260591,0.1675511,0.12757844,0.16156983,0.15491946,0.1650443,0.1742328,0.1659589,0.1785075,0.1947191,0.20889762,0.18370977,0.1868518,0.20838875,0.23452863,0.2294655,0.23638935,0.19860043,0.25214022,0.2318558,0.23327357,0.23348281,1.08
sly,clever,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.25
